Date/Time,temp.0,R.hum.0,temp.1,R.hum.1,temp.2,R.hum.2,temp.3,R.hum.3
2019/2/13 11:19,20.5,40.1,4.2,93.7,15.1,16,1.5,37.2
2019/2/13 11:20,13.7,16.6,-0.5,31.3,15.5,51.1,10.8,94.5
2019/2/13 11:21,17.9,43.1,1.3,88.7,17.4,16.1,0.3,34.8
2019/2/13 11:22,16.6,17.8,1.4,29.7,12.5,44.3,10.4,94.5
2019/2/13 11:23,13.6,40.9,-1.5,61,18.6,41.5,1.5,36.9
2019/2/13 11:24,20.4,36.8,5.3,68.7,12.4,16.7,11.6,94.7
2019/2/13 11:25,10.8,20.8,-1.2,34.9,16.7,48.6,0.2,34.9
2019/2/13 11:26,20,37.3,4.3,76.3,12.4,16.6,10.8,94.7
2019/2/13 11:27,11.1,23,-2.2,36,17.3,47.9,0.3,36.8
2019/2/13 11:28,19.6,34.4,3.2,73.1,12.2,16.1,11.2,94.8
2019/2/13 11:29,11,26.1,-2.5,37.8,17.3,46.8,0.4,37.7
2019/2/13 11:30,19.4,33.3,2.4,67.5,12,17.7,11.5,94.9
2019/2/13 11:31,11.4,29.4,-1.6,41.7,17.3,45.2,0.3,36.6
2019/2/13 11:32,19.1,31.8,3.1,64.5,11.8,17.1,11.3,95
2019/2/13 11:33,12.1,31.4,-1.7,44.8,17.3,47.1,0,38.2
2019/2/13 11:34,19.1,29.4,2.5,59.5,11.4,16.9,10.8,95
2019/2/13 11:35,12.6,31.8,-0.8,45.5,17.2,46.4,-0.7,38
2019/2/13 11:36,19.1,30.2,2.9,65.2,11.4,17.5,10,95
2019/2/13 11:37,12.7,33.5,-1.6,47.5,17.4,46.6,0,41.3
2019/2/13 11:38,18.4,25.8,2,53.8,11.4,18.1,10.1,94.9
2019/2/13 11:39,11.6,37.2,-1.5,52,17.3,46.6,-0.1,39.9
2019/2/13 11:40,17.7,26,2.2,51.4,10.8,16.8,9.5,94.9
2019/2/13 11:41,13.1,36.7,-0.8,52.7,17.2,46.2,-0.2,44.5
2019/2/13 11:42,17.9,23.4,1.8,46.3,10.8,18.4,8.8,94.2
2019/2/13 11:43,13.5,38.1,-1.3,54.7,17.5,45.8,-0.2,47.5
2019/2/13 11:44,17.9,24.7,2.4,48.5,10.7,17,8.8,94.3
2019/2/13 11:45,13.4,37.7,-1.6,56.5,17.4,44.7,0,50.1
2019/2/13 11:46,17.3,23.3,2.1,46,10.3,17.9,8.3,90.3
2019/2/13 11:47,13.9,38.3,-1.5,59,17.5,45.2,0.7,53.7
2019/2/13 11:48,16.8,21.1,0.8,45.1,10.4,18.6,8.6,86.8
2019/2/13 11:49,13.5,40.1,-2,59.6,17.5,44.3,0.9,54.6
2019/2/13 11:50,16.7,21.7,0.6,43.3,10.3,18.4,9.4,85.7
