year,month,day,time,temp.0,R.hum.0,temp.1,R.hum.1,temp.2,R.hum.2,temp.3,R.hum.3
2019,2,19,11:18:55,23.3,26.5,8.4,68.6,21.5,30.1,5.4,52.3
2019,2,19,11:19:00,23.3,26.5,8.9,67.6,21.8,29.5,5.4,52.3
2019,2,19,11:19:05,23.3,26.5,9.3,66.5,22,28.9,5.4,52.3
2019,2,19,11:19:10,23.4,26.5,9.8,65.2,22,24.8,5.4,52.3
2019,2,19,11:19:15,23.4,26.5,10.2,63.9,21.7,22.1,5.4,52.3
2019,2,19,11:19:20,23.4,26.5,10.2,58,21.4,20.9,5.4,52.3
2019,2,19,11:19:25,23.4,26.4,9.9,51.2,20.9,20.5,5.4,52.3
2019,2,19,11:19:30,23.4,26.4,9.5,47.3,20.3,20.5,5.4,52.3
2019,2,19,11:19:35,23.4,26.4,9.1,45.3,19.7,20.8,5.4,52.3
2019,2,19,11:19:40,23.4,26.5,8.6,44.5,19.1,21.2,5.4,52.3
2019,2,19,11:19:45,23.4,26.4,8.2,44.4,18.4,21.7,5.4,52.2
2019,2,19,11:19:50,23.4,26.4,7.9,44.7,17.7,22.3,5.4,52.2
2019,2,19,11:19:55,23.4,26.4,7.5,45.2,17,23,5.4,52.2
2019,2,19,11:20:00,23.4,26.4,7.2,45.8,16.3,23.8,5.4,52.2
2019,2,19,11:20:05,23.4,26.4,6.9,46.4,15.6,24.6,5.4,52.2
2019,2,19,11:20:10,23.4,26.4,6.7,47,14.9,25.4,5.4,52.2
2019,2,19,11:20:15,23.4,26.4,6.5,47.6,14.3,26.2,5.4,52.2
2019,2,19,11:20:20,23.4,26.4,6.4,48.1,14.6,31.7,5.4,52.1
2019,2,19,11:20:25,23.4,26.4,6.2,48.6,15.2,36,5.4,52.1
2019,2,19,11:20:30,23.4,26.4,6.2,49.2,16.1,37.8,5.4,52.1
2019,2,19,11:20:35,23.4,26.5,6.2,54.3,17.1,38,5.4,52.1
2019,2,19,11:20:40,23.4,26.5,6.3,59.9,17.8,37.4,5.4,52.1
2019,2,19,11:20:45,23.4,26.4,6.5,64.1,18.5,36.4,5.4,52.1
2019,2,19,11:20:50,23.4,26.5,6.7,66.7,19.1,35.3,5.4,52.1
