Date/Time,(A)OAT1emp,(A)OA2Temp,(A)PreCoilTemp,(A)CoilTemp,(A)SaTemp,(A)RATemp,(A)EATemp,(O)DBUnitTemp,(F)PreCoilInTemp,(F)PreCoilOutTemp,(F)CoilInTemp,(F)CoilOutTemp,(F)CompInTemp,(F)CompOutTemp,(F)WatHxInTemp,(F)WatHxOutTemp,(W)WatHxInTemp,(W)WatHxOutTemp,(O)CompCaseTemp,NaN,(W)PanelInTemp,NaN,(I)IndoorATemp,(I)IndoorBTemp,(A)OA1Hum,(A)OA2Hum,(A)PreCoilHum,(A)CoilHum,(A)SAHum,(A)RAHum,(A)EAHum,(O)DBUnitHum,(I)IndoorAHum,(I)IndoorBHum,(Flow rate 1),(Flow rate 2),(F)CompLowP,(F)CompHiP,NaN,NaN
 2019/03/29 18:09:23,371,296,199,108,126,273,334,298,207,170,70,211,229,560,508,272,171,227,553,0,167,0,276,265,595,678,984,996,821,461,489,612,392,381,0,0,64,24,0,0
 2019/03/29 18:10:24,371,295,198,107,127,272,332,299,207,170,69,211,228,563,509,273,170,229,550,0,168,0,275,263,597,675,983,984,821,465,489,615,379,378,0,0,68,24,0,0
 2019/03/29 18:11:26,372,297,199,107,126,273,334,298,208,170,70,211,229,563,510,272,171,230,551,0,168,0,273,264,601,678,987,984,819,465,492,617,381,374,0,0,64,24,0,0
 2019/03/29 18:12:27,372,297,199,107,126,272,334,301,207,170,69,211,229,564,511,273,170,229,549,0,168,0,273,264,608,678,983,990,821,468,496,619,379,376,0,0,65,24,0,0
 2019/03/29 18:13:29,372,297,204,108,127,273,334,298,211,177,69,213,230,563,509,268,178,226,553,0,172,0,272,262,598,680,998,992,822,476,498,619,374,376,0,0,64,26,0,0
 2019/03/29 18:14:30,367,293,199,110,129,273,326,296,208,170,71,213,231,564,511,270,170,223,554,0,169,0,274,261,535,655,981,996,823,476,474,613,386,386,0,0,67,25,0,0
 2019/03/29 18:15:32,366,286,197,107,127,274,321,297,204,174,67,209,227,564,511,272,175,230,552,0,170,0,279,270,537,657,983,980,805,470,493,610,410,389,0,0,65,23,0,0
 2019/03/29 18:16:33,368,290,195,105,125,272,325,294,203,170,64,208,226,563,509,269,170,228,552,0,168,0,272,265,577,674,975,966,808,468,505,602,386,384,0,0,64,25,0,0
 2019/03/29 18:17:35,370,295,198,105,125,272,332,297,207,170,65,210,229,565,511,269,170,229,552,0,168,0,275,266,602,683,988,972,812,468,503,605,382,376,0,0,63,24,0,0
 2019/03/29 18:18:37,372,297,201,107,127,272,334,294,209,177,64,212,230,565,511,250,178,213,549,0,176,0,274,265,606,683,992,980,829,471,498,608,373,376,0,0,63,23,0,0
 2019/03/29 18:19:38,369,295,198,109,128,273,333,292,207,171,66,212,230,566,513,262,171,223,552,0,169,0,277,269,604,677,982,981,824,466,494,609,375,387,0,0,65,24,0,0
 2019/03/29 18:20:40,371,297,200,110,129,273,334,296,210,170,67,213,231,565,512,270,170,230,558,0,168,0,274,265,604,680,994,987,825,476,496,614,371,374,0,0,65,23,0,0
 2019/03/29 18:21:41,371,296,200,109,128,273,333,298,208,171,66,212,230,568,514,267,172,227,558,0,169,0,276,265,600,674,986,984,820,468,491,621,379,379,0,0,68,24,0,0
 2019/03/29 18:22:43,368,295,204,111,128,272,333,296,211,171,66,214,231,568,513,269,172,231,550,0,169,0,277,269,589,674,998,983,815,474,492,615,394,398,0,0,64,27,0,0
 2019/03/29 18:23:44,370,295,203,112,130,272,332,296,210,172,66,214,232,568,515,268,172,228,559,0,170,0,280,271,606,676,991,992,826,475,498,624,388,400,0,0,65,24,0,0
 2019/03/29 18:24:46,370,291,203,110,130,273,325,296,209,174,64,213,231,569,515,263,174,230,551,0,170,0,275,269,530,659,993,981,822,481,479,625,396,397,0,0,65,24,0,0
 2019/03/29 18:25:48,369,287,197,109,128,271,321,296,202,170,64,210,228,571,516,271,171,229,565,0,169,0,273,264,566,664,973,973,815,473,498,617,395,394,0,0,66,24,0,0
 2019/03/29 18:26:49,370,292,199,112,130,271,328,298,205,170,68,210,229,567,512,267,172,225,553,0,168,0,279,265,583,677,987,983,826,466,504,612,385,386,0,0,62,27,0,0
 2019/03/29 18:27:51,368,293,200,115,132,272,330,297,206,171,68,211,229,564,508,266,171,226,553,0,169,0,279,273,590,674,990,988,824,474,492,615,396,407,0,0,63,25,0,0
 2019/03/29 18:28:52,370,295,200,114,133,273,332,294,206,171,70,212,230,561,506,268,172,226,550,0,168,0,275,264,607,678,989,985,823,475,497,615,390,382,0,0,64,25,0,0
