Date/Time,(A)OAT1emp,(A)OA2Temp,(A)PreCoilTemp,(A)CoilTemp,(A)SaTemp,(A)RATemp,(A)EATemp,(O)DBUnitTemp,(F)PreCoilInTemp,(F)PreCoilOutTemp,(F)CoilInTemp,(F)CoilOutTemp,(F)CompInTemp,(F)CompOutTemp,(F)WatHxInTemp,(F)WatHxOutTemp,(W)WatHxInTemp,(W)WatHxOutTemp,(O)CompCaseTemp,NaN,(W)PanelInTemp,NaN,(I)IndoorATemp,(I)IndoorBTemp,(A)OA1Hum,(A)OA2Hum,(A)PreCoilHum,(A)CoilHum,(A)SAHum,(A)RAHum,,(O)DBUnitHum,(I)IndoorAHum,(I)IndoorBHum,(Flow rate 1),(Flow rate 2),(F)CompLowP,(F)CompHiP,NaN,NaN
 2019/04/02 11:18:15,333,297,217,117,135,236,349,264,226,185,109,223,236,491,449,213,186,212,455,0,182,0,217,230,719,698,998,996,824,541,596,624,537,559,0,0,66,31,0,0
 2019/04/02 11:19:16,326,291,220,120,137,239,339,262,227,186,110,226,238,486,450,211,188,210,458,0,184,0,219,228,711,683,999,996,832,551,573,650,543,561,0,0,66,31,0,0
 2019/04/02 11:20:18,333,301,225,122,138,236,355,263,231,185,111,227,243,494,452,210,187,213,462,0,183,0,223,231,845,719,998,996,840,539,628,670,532,561,0,0,67,31,0,0
 2019/04/02 11:21:20,330,279,208,133,146,232,335,269,219,179,127,224,240,491,450,274,179,224,465,0,176,0,218,232,670,647,978,996,862,540,552,672,532,565,0,0,65,33,0,0
 2019/04/02 11:22:22,328,286,208,121,139,235,335,267,214,182,116,208,222,483,449,265,182,210,463,0,179,0,220,227,739,708,973,983,813,563,592,663,547,570,0,0,63,32,0,0
 2019/04/02 11:23:23,326,296,205,117,133,237,344,267,213,176,113,202,217,480,444,270,178,219,457,0,173,0,223,232,742,720,962,962,804,545,614,654,534,565,0,0,63,31,0,0
 2019/04/02 11:24:25,328,289,206,113,129,234,341,261,213,179,110,199,213,476,441,262,179,210,437,0,177,0,224,231,762,705,981,960,816,540,605,659,532,567,0,0,61,31,0,0
 2019/04/02 11:25:27,330,294,212,111,129,233,346,264,220,180,107,202,215,476,440,267,182,213,446,0,179,0,223,229,788,726,996,962,816,548,633,663,533,546,0,0,65,30,0,0
 2019/04/02 11:26:29,332,292,214,110,127,232,346,269,222,180,106,205,218,480,441,267,182,213,446,0,178,0,222,229,806,715,997,970,820,550,636,680,532,569,0,0,64,30,0,0
 2019/04/02 11:27:31,334,285,212,110,126,231,339,272,222,180,104,207,219,481,441,269,181,222,446,0,176,0,224,230,809,675,993,974,828,529,610,680,509,539,0,0,66,30,0,0
 2019/04/02 11:28:32,338,279,205,106,122,231,335,271,213,178,100,202,215,481,444,251,179,222,449,0,173,0,221,229,797,688,972,962,819,539,616,688,523,560,0,0,65,29,0,0
 2019/04/02 11:29:34,334,279,205,102,119,234,336,266,213,177,97,201,214,480,445,241,178,221,449,0,173,0,224,229,768,707,980,958,812,546,623,681,517,559,0,0,65,28,0,0
 2019/04/02 11:30:36,335,279,200,101,119,234,335,267,209,174,96,200,214,488,447,240,176,220,449,0,172,0,223,230,779,716,966,965,818,564,628,679,541,572,0,0,64,30,0,0
 2019/04/02 11:31:38,332,271,208,100,117,234,320,271,215,179,95,204,218,481,448,230,181,209,450,0,178,0,222,232,670,686,997,970,822,566,578,684,545,575,0,0,63,29,0,0
 2019/04/02 11:32:39,331,265,198,102,119,231,315,269,206,175,97,203,216,488,449,230,176,220,451,0,172,0,223,228,715,688,971,982,830,539,609,673,527,537,0,0,64,29,0,0
 2019/04/02 11:33:41,332,270,195,100,117,234,324,269,202,173,95,196,210,487,449,245,175,220,453,0,171,0,225,228,749,725,960,974,821,565,645,663,527,572,0,0,66,29,0,0
 2019/04/02 11:34:42,333,274,197,92,110,233,328,271,205,173,86,195,209,497,454,237,176,223,456,0,172,0,231,230,779,731,977,947,806,567,648,666,543,561,0,0,66,27,0,0
 2019/04/02 11:35:44,332,274,198,90,108,230,329,271,206,174,87,196,210,499,458,237,176,223,463,0,172,0,222,226,802,721,983,960,817,553,639,672,527,549,0,0,66,27,0,0
 2019/04/02 11:36:45,333,274,199,90,109,232,330,268,206,176,86,195,210,503,461,236,178,219,462,0,174,0,225,231,824,728,986,968,819,567,645,671,527,587,0,0,66,27,0,0
 2019/04/02 11:37:47,333,275,199,91,110,229,330,270,207,174,88,198,211,506,463,237,176,223,466,0,173,0,223,228,815,726,987,979,835,557,643,675,535,585,0,0,67,27,0,0
 2019/04/02 11:38:48,332,273,198,91,109,229,330,270,206,174,88,198,211,506,465,237,176,224,471,0,172,0,223,230,775,722,984,982,832,560,645,679,518,549,0,0,67,28,0,0
 2019/04/02 11:39:50,333,274,198,92,112,232,329,269,207,174,88,198,212,510,466,238,176,223,472,0,173,0,227,229,815,732,986,984,833,573,648,686,536,581,0,0,67,27,0,0
 2019/04/02 11:40:51,332,274,199,92,110,229,329,271,207,174,88,198,212,510,468,239,176,224,470,0,173,0,222,227,794,729,987,984,834,570,648,689,536,572,0,0,67,27,0,0
 2019/04/02 11:41:53,329,265,199,92,111,233,313,272,207,177,88,199,213,511,470,238,179,220,475,0,176,0,226,229,710,699,990,984,826,579,596,689,543,580,0,0,68,27,0,0
 2019/04/02 11:42:54,328,263,194,91,110,235,312,270,201,174,87,196,211,513,470,239,176,223,475,0,172,0,226,229,722,718,975,980,825,584,633,678,546,588,0,0,66,27,0,0
 2019/04/02 11:43:56,331,267,196,90,108,230,320,268,204,174,86,196,211,514,469,239,176,223,474,0,172,0,224,228,780,724,984,974,823,560,659,676,531,558,0,0,66,27,0,0
 2019/04/02 11:44:57,332,271,197,90,108,231,325,274,205,174,86,197,212,513,470,239,176,223,474,0,173,0,221,230,816,746,990,979,830,585,672,684,546,584,0,0,66,26,0,0
 2019/04/02 11:45:59,332,274,199,91,109,234,328,272,207,175,87,200,214,514,471,239,176,224,476,0,173,0,222,230,820,749,993,985,839,591,673,682,558,589,0,0,66,27,0,0
 2019/04/02 11:47:00,333,274,200,93,110,234,329,271,208,175,89,202,216,515,474,239,177,224,479,0,173,0,224,231,828,744,991,990,836,583,673,687,554,596,0,0,66,28,0,0
 2019/04/02 11:48:02,333,274,200,93,111,237,330,271,208,175,89,202,217,515,473,239,176,224,473,0,173,0,226,230,814,740,991,988,835,580,674,694,561,601,0,0,67,27,0,0
 2019/04/02 11:49:03,333,275,200,94,111,235,329,274,209,175,89,204,218,517,476,239,177,225,473,0,173,0,227,230,823,741,991,987,837,580,668,693,564,601,0,0,67,28,0,0
 2019/04/02 11:50:04,331,275,200,94,112,236,331,271,209,175,90,204,218,519,474,239,177,225,480,0,173,0,230,231,801,745,990,988,835,587,668,694,569,602,0,0,66,28,0,0
 2019/04/02 11:51:06,336,263,199,92,148,237,319,273,207,175,86,204,218,516,476,239,176,224,481,0,173,0,231,231,894,671,988,979,951,583,631,697,566,602,0,0,66,27,0,0
 2019/04/02 11:52:08,326,273,197,93,117,235,320,271,205,174,89,204,219,521,478,238,176,222,492,0,172,0,226,232,694,768,983,978,795,581,630,703,559,603,0,0,66,28,0,0
 2019/04/02 11:53:09,330,290,203,94,115,240,328,271,211,175,90,207,221,522,481,245,176,224,490,0,173,0,234,230,788,792,995,984,819,572,678,686,550,603,0,0,66,30,0,0
 2019/04/02 11:54:12,331,283,204,97,119,240,334,271,213,175,92,209,223,522,479,249,177,225,490,0,174,0,232,233,809,727,998,992,837,572,691,684,561,602,0,0,67,28,0,0
 2019/04/02 11:55:13,333,283,202,96,117,239,340,267,211,175,91,209,223,522,481,243,176,225,495,0,173,0,226,230,829,745,991,986,829,574,709,689,552,603,0,0,67,29,0,0
