Date/Time,U1_AVE(V),I1_AVE(A),P_AVE(W),WP+(Wh),WP-(Wh),St,PF_AVE
43563.58941,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00
43563.58942,2.00E+02,3.05E+00,-4.99E+02,0.00E+00,-1.40E-01,0,-8.19E-01
43563.58943,1.99E+02,3.12E+00,-5.10E+02,0.00E+00,-2.80E-01,0,-8.20E-01
43563.58944,2.00E+02,3.11E+00,-5.10E+02,0.00E+00,-4.20E-01,0,-8.21E-01
43563.58946,2.00E+02,3.08E+00,-5.04E+02,0.00E+00,-5.60E-01,0,-8.19E-01
43563.58947,2.00E+02,3.13E+00,-5.12E+02,0.00E+00,-7.00E-01,0,-8.20E-01
43563.58948,2.00E+02,3.07E+00,-5.01E+02,0.00E+00,-8.40E-01,0,-8.19E-01
43563.58949,1.99E+02,3.13E+00,-5.11E+02,0.00E+00,-9.90E-01,0,-8.20E-01
43563.5895,2.00E+02,3.10E+00,-5.08E+02,0.00E+00,-1.13E+00,0,-8.19E-01
43563.58951,2.00E+02,3.13E+00,-5.13E+02,0.00E+00,-1.27E+00,0,-8.20E-01
43563.58953,2.00E+02,3.09E+00,-5.06E+02,0.00E+00,-1.41E+00,0,-8.20E-01
43563.58954,2.00E+02,3.04E+00,-4.98E+02,0.00E+00,-1.55E+00,0,-8.19E-01
43563.58955,2.00E+02,3.12E+00,-5.13E+02,0.00E+00,-1.69E+00,0,-8.20E-01
43563.58956,2.00E+02,3.05E+00,-4.99E+02,0.00E+00,-1.83E+00,0,-8.18E-01
43563.58957,2.00E+02,3.09E+00,-5.06E+02,0.00E+00,-1.97E+00,0,-8.18E-01
43563.58958,2.00E+02,3.10E+00,-5.06E+02,0.00E+00,-2.11E+00,0,-8.18E-01
43563.58959,2.00E+02,3.11E+00,-5.09E+02,0.00E+00,-2.25E+00,0,-8.19E-01
43563.58961,2.00E+02,3.08E+00,-5.02E+02,0.00E+00,-2.39E+00,0,-8.18E-01
43563.58962,1.99E+02,3.14E+00,-5.12E+02,0.00E+00,-2.53E+00,0,-8.19E-01
43563.58963,2.00E+02,3.14E+00,-5.13E+02,0.00E+00,-2.68E+00,0,-8.19E-01
43563.58964,2.00E+02,3.05E+00,-5.00E+02,0.00E+00,-2.81E+00,0,-8.18E-01
43563.58965,2.00E+02,3.06E+00,-5.02E+02,0.00E+00,-2.95E+00,0,-8.19E-01
43563.58966,2.00E+02,3.09E+00,-5.06E+02,0.00E+00,-3.09E+00,0,-8.19E-01
43563.58968,2.00E+02,3.14E+00,-5.13E+02,0.00E+00,-3.24E+00,0,-8.19E-01
43563.58969,2.00E+02,3.05E+00,-4.99E+02,0.00E+00,-3.37E+00,0,-8.19E-01
43563.5897,2.00E+02,3.10E+00,-5.08E+02,0.00E+00,-3.52E+00,0,-8.18E-01
43563.58971,2.00E+02,3.13E+00,-5.13E+02,0.00E+00,-3.66E+00,0,-8.20E-01
43563.58972,2.00E+02,3.05E+00,-4.99E+02,0.00E+00,-3.80E+00,0,-8.18E-01
43563.58973,2.00E+02,3.06E+00,-5.01E+02,0.00E+00,-3.94E+00,0,-8.19E-01
43563.58975,2.00E+02,3.06E+00,-5.01E+02,0.00E+00,-4.08E+00,0,-8.19E-01
43563.58976,2.00E+02,3.14E+00,-5.14E+02,0.00E+00,-4.22E+00,0,-8.19E-01
43563.58977,2.00E+02,3.08E+00,-5.04E+02,0.00E+00,-4.36E+00,0,-8.20E-01
43563.58978,2.00E+02,3.16E+00,-5.18E+02,0.00E+00,-4.50E+00,0,-8.20E-01
43563.58979,2.00E+02,3.05E+00,-4.99E+02,0.00E+00,-4.64E+00,0,-8.19E-01
43563.5898,2.00E+02,3.09E+00,-5.06E+02,0.00E+00,-4.78E+00,0,-8.18E-01
43563.58981,1.99E+02,3.13E+00,-5.10E+02,0.00E+00,-4.92E+00,0,-8.19E-01
43563.58983,2.00E+02,3.10E+00,-5.08E+02,0.00E+00,-5.06E+00,0,-8.20E-01
43563.58984,2.00E+02,3.04E+00,-4.98E+02,0.00E+00,-5.20E+00,0,-8.18E-01
43563.58985,2.00E+02,3.11E+00,-5.10E+02,0.00E+00,-5.34E+00,0,-8.19E-01
43563.58986,2.00E+02,3.04E+00,-4.97E+02,0.00E+00,-5.48E+00,0,-8.18E-01
43563.58987,2.00E+02,3.13E+00,-5.11E+02,0.00E+00,-5.62E+00,0,-8.18E-01
43563.58988,2.00E+02,3.08E+00,-5.04E+02,0.00E+00,-5.76E+00,0,-8.19E-01
43563.5899,2.00E+02,3.11E+00,-5.08E+02,0.00E+00,-5.91E+00,0,-8.19E-01
43563.58991,2.00E+02,3.05E+00,-4.99E+02,0.00E+00,-6.04E+00,0,-8.18E-01
43563.58992,2.00E+02,3.03E+00,-4.97E+02,0.00E+00,-6.18E+00,0,-8.19E-01
43563.58993,2.01E+02,3.06E+00,-5.02E+02,0.00E+00,-6.32E+00,0,-8.19E-01
43563.58994,2.00E+02,3.08E+00,-5.04E+02,0.00E+00,-6.46E+00,0,-8.18E-01
43563.58995,2.00E+02,3.10E+00,-5.08E+02,0.00E+00,-6.60E+00,0,-8.18E-01
43563.58997,2.00E+02,3.12E+00,-5.13E+02,0.00E+00,-6.75E+00,0,-8.20E-01
43563.58998,2.00E+02,3.13E+00,-5.14E+02,0.00E+00,-6.89E+00,0,-8.20E-01
43563.58999,2.00E+02,3.06E+00,-5.02E+02,0.00E+00,-7.03E+00,0,-8.18E-01
43563.59,2.00E+02,3.09E+00,-5.07E+02,0.00E+00,-7.17E+00,0,-8.19E-01
