Date/Time,U1_AVE(V),I1_AVE(A),P_AVE(W),WP+(Wh),WP-(Wh),St,PF_AVE
43566.71017,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00
43566.71019,2.05E+02,1.69E+00,-2.23E+02,0.00E+00,-6.00E-02,0,6.42E-01
43566.7102,2.05E+02,1.70E+00,-2.22E+02,0.00E+00,-1.20E-01,0,6.37E-01
43566.71021,2.05E+02,1.70E+00,-2.22E+02,0.00E+00,-1.90E-01,0,6.39E-01
43566.71022,2.05E+02,1.71E+00,-2.23E+02,0.00E+00,-2.50E-01,0,6.38E-01
43566.71023,2.05E+02,1.69E+00,-2.22E+02,0.00E+00,-3.10E-01,0,6.40E-01
43566.71024,2.05E+02,1.71E+00,-2.22E+02,0.00E+00,-3.70E-01,0,6.36E-01
43566.71025,2.05E+02,1.71E+00,-2.23E+02,0.00E+00,-4.30E-01,0,6.36E-01
43566.71027,2.05E+02,1.73E+00,-2.23E+02,0.00E+00,-4.90E-01,0,6.30E-01
43566.71028,2.05E+02,1.71E+00,-2.23E+02,0.00E+00,-5.60E-01,0,6.36E-01
43566.71029,2.05E+02,1.71E+00,-2.22E+02,0.00E+00,-6.20E-01,0,6.34E-01
43566.7103,2.05E+02,1.71E+00,-2.23E+02,0.00E+00,-6.80E-01,0,6.36E-01
43566.71031,2.05E+02,1.72E+00,-2.23E+02,0.00E+00,-7.40E-01,0,6.33E-01
43566.71032,2.05E+02,1.71E+00,-2.22E+02,0.00E+00,-8.00E-01,0,6.32E-01
43566.71034,2.05E+02,1.72E+00,-2.23E+02,0.00E+00,-8.70E-01,0,6.32E-01
43566.71035,2.05E+02,1.70E+00,-2.23E+02,0.00E+00,-9.30E-01,0,6.39E-01
43566.71036,2.05E+02,1.70E+00,-2.23E+02,0.00E+00,-9.90E-01,0,6.41E-01
43566.71037,2.05E+02,1.70E+00,-2.24E+02,0.00E+00,-1.05E+00,0,6.41E-01
43566.71038,2.05E+02,1.71E+00,-2.23E+02,0.00E+00,-1.11E+00,0,6.38E-01
43566.71039,2.05E+02,1.70E+00,-2.23E+02,0.00E+00,-1.17E+00,0,6.39E-01
43566.71041,2.05E+02,1.71E+00,-2.23E+02,0.00E+00,-1.24E+00,0,6.36E-01
43566.71042,2.05E+02,1.71E+00,-2.23E+02,0.00E+00,-1.30E+00,0,6.36E-01
43566.71043,2.05E+02,1.71E+00,-2.24E+02,0.00E+00,-1.36E+00,0,6.39E-01
43566.71044,2.06E+02,1.71E+00,-2.24E+02,0.00E+00,-1.42E+00,0,6.39E-01
43566.71045,2.06E+02,1.69E+00,-2.22E+02,0.00E+00,-1.48E+00,0,6.39E-01
43566.71046,2.06E+02,1.70E+00,-2.26E+02,0.00E+00,-1.55E+00,0,6.44E-01
43566.71047,2.06E+02,1.69E+00,-2.23E+02,0.00E+00,-1.61E+00,0,6.41E-01
43566.71049,2.05E+02,1.69E+00,-2.23E+02,0.00E+00,-1.67E+00,0,6.41E-01
43566.7105,2.05E+02,1.71E+00,-2.25E+02,0.00E+00,-1.73E+00,0,6.39E-01
43566.71051,2.05E+02,1.71E+00,-2.24E+02,0.00E+00,-1.80E+00,0,6.38E-01
43566.71052,2.05E+02,1.70E+00,-2.23E+02,0.00E+00,-1.86E+00,0,6.38E-01
43566.71053,2.05E+02,1.71E+00,-2.23E+02,0.00E+00,-1.92E+00,0,6.37E-01
43566.71054,2.05E+02,1.69E+00,-2.22E+02,0.00E+00,-1.98E+00,0,6.40E-01
43566.71056,2.05E+02,1.70E+00,-2.22E+02,0.00E+00,-2.04E+00,0,6.38E-01
43566.71057,2.05E+02,1.70E+00,-2.22E+02,0.00E+00,-2.10E+00,0,6.39E-01
43566.71058,2.05E+02,1.69E+00,-2.22E+02,0.00E+00,-2.17E+00,0,6.38E-01
43566.71059,2.05E+02,1.69E+00,-2.23E+02,0.00E+00,-2.23E+00,0,6.42E-01
43566.7106,2.05E+02,1.70E+00,-2.23E+02,0.00E+00,-2.29E+00,0,6.39E-01
43566.71061,2.05E+02,1.70E+00,-2.23E+02,0.00E+00,-2.35E+00,0,6.40E-01
43566.71063,2.05E+02,1.70E+00,-2.22E+02,0.00E+00,-2.41E+00,0,6.37E-01
43566.71064,2.05E+02,1.70E+00,-2.23E+02,0.00E+00,-2.48E+00,0,6.38E-01
43566.71065,2.05E+02,1.69E+00,-2.22E+02,0.00E+00,-2.54E+00,0,6.39E-01
43566.71066,2.05E+02,1.69E+00,-2.23E+02,0.00E+00,-2.60E+00,0,6.40E-01
43566.71067,2.05E+02,1.70E+00,-2.23E+02,0.00E+00,-2.66E+00,0,6.40E-01
43566.71068,2.05E+02,1.69E+00,-2.23E+02,0.00E+00,-2.72E+00,0,6.42E-01
43566.71069,2.05E+02,1.68E+00,-2.22E+02,0.00E+00,-2.78E+00,0,6.43E-01
43566.71071,2.05E+02,1.68E+00,-2.22E+02,0.00E+00,-2.85E+00,0,6.44E-01
43566.71072,2.05E+02,1.68E+00,-2.22E+02,0.00E+00,-2.91E+00,0,6.44E-01
43566.71073,2.05E+02,1.68E+00,-2.23E+02,0.00E+00,-2.97E+00,0,6.45E-01
43566.71074,2.05E+02,1.68E+00,-2.23E+02,0.00E+00,-3.03E+00,0,6.45E-01
43566.71075,2.05E+02,1.69E+00,-2.23E+02,0.00E+00,-3.09E+00,0,6.44E-01
43566.71076,2.05E+02,1.68E+00,-2.22E+02,0.00E+00,-3.16E+00,0,6.44E-01
43566.71078,2.05E+02,1.69E+00,-2.23E+02,0.00E+00,-3.22E+00,0,6.43E-01
43566.71079,2.06E+02,1.69E+00,-2.23E+02,0.00E+00,-3.28E+00,0,6.42E-01
43566.7108,2.06E+02,1.69E+00,-2.23E+02,0.00E+00,-3.34E+00,0,6.41E-01
43566.71081,2.06E+02,1.69E+00,-2.23E+02,0.00E+00,-3.40E+00,0,6.42E-01
43566.71082,2.06E+02,1.69E+00,-2.22E+02,0.00E+00,-3.47E+00,0,6.42E-01
43566.71083,2.05E+02,1.68E+00,-2.22E+02,0.00E+00,-3.53E+00,0,6.42E-01
43566.71084,2.05E+02,1.69E+00,-2.23E+02,0.00E+00,-3.59E+00,0,6.40E-01
43566.71086,2.05E+02,1.68E+00,-2.23E+02,0.00E+00,-3.65E+00,0,6.46E-01
43566.71087,2.05E+02,1.69E+00,-2.23E+02,0.00E+00,-3.71E+00,0,6.44E-01
43566.71088,2.05E+02,1.68E+00,-2.22E+02,0.00E+00,-3.77E+00,0,6.44E-01
43566.71089,2.05E+02,1.69E+00,-2.23E+02,0.00E+00,-3.84E+00,0,6.44E-01
43566.7109,2.05E+02,1.68E+00,-2.23E+02,0.00E+00,-3.90E+00,0,6.47E-01
43566.71091,2.05E+02,1.68E+00,-2.22E+02,0.00E+00,-3.96E+00,0,6.44E-01
43566.71093,2.05E+02,1.68E+00,-2.22E+02,0.00E+00,-4.02E+00,0,6.43E-01
43566.71094,2.05E+02,1.69E+00,-2.23E+02,0.00E+00,-4.08E+00,0,6.42E-01
43566.71095,2.05E+02,1.69E+00,-2.22E+02,0.00E+00,-4.14E+00,0,6.42E-01
43566.71096,2.05E+02,1.68E+00,-2.21E+02,0.00E+00,-4.21E+00,0,6.42E-01
43566.71097,2.05E+02,1.67E+00,-2.21E+02,0.00E+00,-4.27E+00,0,6.45E-01
43566.71098,2.05E+02,1.69E+00,-2.22E+02,0.00E+00,-4.33E+00,0,6.43E-01
