Date/Time,(A)OAT1emp,(A)OA2Temp,(A)PreCoilTemp,(A)CoilTemp,(A)SaTemp,(A)RATemp,(A)EATemp,(O)DBUnitTemp,(F)PreCoilInTemp,(F)PreCoilOutTemp,(F)CoilInTemp,(F)CoilOutTemp,(F)CompInTemp,(F)CompOutTemp,(F)WatHxInTemp,(F)WatHxOutTemp,(W)WatHxInTemp,(W)WatHxOutTemp,(O)CompCaseTemp,NaN,(W)PanelInTemp,NaN,(I)IndoorATemp,(I)IndoorBTemp,(A)OA1Hum,(A)OA2Hum,(A)PreCoilHum,(A)CoilHum,(A)SAHum,(A)RAHum,(A)EAHum,(O)DBUnitHum,(I)IndoorAHum,(I)IndoorBHum,(Flow rate 1),(Flow rate 2),(F)CompLowP,(F)CompHiP,NaN,NaN
 2019/04/11 10:12:07,374,322,246,136,143,256,353,283,253,182,124,230,241,520,477,202,181,216,504,0,180,0,240,231,611,712,998,996,982,483,601,685,481,541,0,0,86,35,0,0
 2019/04/11 10:12:17,373,322,246,136,144,256,354,285,253,182,124,229,241,522,481,201,181,215,505,0,179,0,239,237,607,708,998,997,982,493,595,695,478,543,0,0,87,32,0,0
 2019/04/11 10:12:27,372,322,245,136,143,256,354,284,253,182,124,229,241,526,481,200,181,216,507,0,179,0,238,237,602,706,998,996,982,500,590,697,499,503,0,0,87,32,0,0
 2019/04/11 10:12:38,370,321,244,136,143,257,353,284,252,181,123,229,241,526,483,200,181,215,512,0,178,0,242,237,603,702,998,996,981,513,585,691,518,568,0,0,86,32,0,0
 2019/04/11 10:12:48,370,319,242,134,143,257,351,280,251,181,122,228,240,529,486,199,180,214,505,0,179,0,245,235,599,678,998,996,973,513,566,683,510,524,0,0,86,32,0,0
 2019/04/11 10:12:58,370,311,238,131,142,257,344,279,250,181,120,226,239,532,490,199,180,215,523,0,178,0,242,237,595,649,998,996,950,501,542,682,477,573,0,0,85,33,0,0
 2019/04/11 10:13:08,371,307,233,129,141,256,340,283,246,181,118,224,237,533,490,198,181,214,515,0,178,0,246,237,611,648,998,996,925,487,537,690,469,533,0,0,84,33,0,0
 2019/04/11 10:13:19,370,305,231,126,138,255,340,283,243,180,116,221,234,534,493,199,180,215,520,0,178,0,248,237,613,647,998,996,898,467,539,701,460,557,0,0,83,31,0,0
 2019/04/11 10:13:29,371,305,230,124,136,255,340,286,240,180,114,218,232,538,495,198,179,214,522,0,177,0,246,238,617,655,998,996,883,478,541,693,496,564,0,0,84,31,0,0
 2019/04/11 10:13:39,373,305,229,122,134,255,341,286,238,180,112,216,229,538,496,198,180,213,525,0,178,0,244,238,612,664,998,996,875,492,543,690,511,578,0,0,81,33,0,0
 2019/04/11 10:13:50,373,302,227,118,133,255,341,282,237,180,109,214,227,536,497,198,179,212,528,0,177,0,244,236,619,645,998,996,862,504,547,695,509,588,0,0,80,30,0,0
 2019/04/11 10:14:00,372,302,223,112,130,255,345,286,236,180,102,208,224,538,498,197,180,212,525,0,177,0,242,238,611,650,998,996,839,495,572,696,499,560,0,0,78,29,0,0
 2019/04/11 10:14:10,373,301,218,105,126,255,348,286,232,179,96,202,219,539,497,198,176,214,534,0,176,0,243,239,618,652,998,997,810,504,575,699,491,572,0,0,76,29,0,0
 2019/04/11 10:14:21,373,301,215,100,122,254,349,285,229,178,91,196,213,539,499,198,177,212,526,0,176,0,239,236,612,652,998,996,788,502,575,698,500,571,0,0,76,27,0,0
 2019/04/11 10:14:31,374,300,211,95,118,255,349,283,225,178,87,190,207,540,499,199,177,224,530,0,172,0,236,235,614,647,998,979,771,498,564,698,496,583,0,0,74,28,0,0
 2019/04/11 10:14:41,375,293,205,90,114,254,340,284,218,173,83,181,200,540,498,200,171,224,532,0,168,0,240,237,617,616,997,969,761,496,517,705,450,595,0,0,72,27,0,0
 2019/04/11 10:14:51,374,287,199,87,110,255,339,289,211,170,79,166,192,545,494,201,170,221,528,0,167,0,240,236,608,609,989,963,749,474,514,705,458,588,0,0,68,26,0,0
 2019/04/11 10:15:02,374,284,193,83,105,255,334,284,205,170,78,125,181,538,493,203,161,221,542,0,169,0,218,267,581,612,979,960,740,501,509,703,520,598,0,0,64,26,0,0
 2019/04/11 10:15:12,372,282,190,81,102,254,333,287,198,168,77,118,174,532,512,208,169,213,530,0,167,0,242,236,573,619,976,960,739,509,502,707,529,604,0,0,59,27,0,0
 2019/04/11 10:15:22,372,281,188,79,100,255,329,288,197,169,77,135,172,529,489,206,169,208,527,0,167,0,242,236,563,620,978,962,751,507,501,711,505,604,0,0,58,26,0,0
 2019/04/11 10:15:32,372,278,187,78,98,256,327,288,196,169,76,145,171,532,482,206,170,206,529,0,167,0,239,236,564,619,981,965,752,495,501,709,480,607,0,0,57,27,0,0
 2019/04/11 10:15:42,373,276,186,77,96,256,326,288,196,169,76,146,170,530,472,207,169,205,524,0,167,0,244,239,567,618,983,964,758,489,501,704,480,611,0,0,56,27,0,0
 2019/04/11 10:15:53,372,275,185,77,95,256,326,286,194,169,77,141,172,521,475,227,169,203,523,0,167,0,241,235,565,621,985,963,761,493,510,701,490,544,0,0,55,27,0,0
 2019/04/11 10:16:03,372,275,185,77,95,253,326,287,193,169,78,140,172,520,472,232,170,202,521,0,168,0,236,236,574,626,985,960,770,498,507,708,488,545,0,0,54,27,0,0
 2019/04/11 10:16:13,373,275,185,77,94,252,326,287,193,169,79,104,169,517,469,234,169,201,520,0,167,0,235,236,576,634,985,957,782,511,514,703,501,558,0,0,54,27,0,0
 2019/04/11 10:16:24,371,275,185,78,94,250,327,289,193,169,79,87,165,513,468,234,170,201,515,0,167,0,236,238,563,643,984,955,787,515,518,697,495,564,0,0,56,27,0,0
 2019/04/11 10:16:34,372,275,185,77,93,250,328,289,193,170,79,81,159,512,464,235,169,202,517,0,167,0,238,237,556,643,984,955,796,511,518,705,505,551,0,0,55,27,0,0
 2019/04/11 10:16:44,372,275,185,77,92,251,326,289,193,170,78,79,152,508,460,229,170,202,512,0,168,0,240,236,577,643,985,956,802,501,525,695,456,575,0,0,56,27,0,0
 2019/04/11 10:16:54,371,274,185,77,91,251,327,289,193,170,77,81,150,508,459,224,170,202,510,0,168,0,242,238,577,643,985,955,804,485,522,693,439,615,0,0,55,27,0,0
 2019/04/11 10:17:04,370,273,185,76,90,252,327,286,193,170,76,81,151,504,458,221,170,202,513,0,168,0,243,238,570,641,986,955,809,496,523,698,461,612,0,0,57,27,0,0
 2019/04/11 10:17:15,370,273,185,75,90,252,326,286,193,170,74,96,154,503,455,216,170,201,507,0,168,0,243,237,574,647,988,953,815,498,525,694,437,619,0,0,55,26,0,0
 2019/04/11 10:17:25,371,273,185,74,89,254,327,286,193,170,73,118,158,501,452,210,171,201,506,0,169,0,245,238,585,646,989,950,814,484,517,697,455,615,0,0,57,26,0,0
 2019/04/11 10:17:35,371,273,185,73,88,254,327,289,193,171,72,134,164,499,450,204,171,199,501,0,169,0,245,238,588,650,992,947,813,490,527,692,467,611,0,0,55,27,0,0
 2019/04/11 10:17:45,372,273,186,73,87,255,328,287,193,172,73,147,171,498,449,198,172,200,501,0,170,0,245,237,599,658,993,949,818,488,524,690,453,570,0,0,53,28,0,0
 2019/04/11 10:17:56,373,274,186,73,87,255,329,288,194,172,76,157,176,497,447,203,172,200,500,0,171,0,240,238,599,662,997,954,823,492,531,688,489,563,0,0,52,27,0,0
 2019/04/11 10:18:06,373,275,187,75,87,252,330,289,194,173,78,163,181,493,445,223,173,200,497,0,171,0,238,238,605,670,998,965,840,502,531,691,497,560,0,0,53,29,0,0
 2019/04/11 10:18:16,374,276,188,77,89,251,331,286,195,173,81,147,182,493,443,230,173,202,496,0,171,0,239,238,592,673,998,976,848,509,530,689,497,568,0,0,54,27,0,0
 2019/04/11 10:18:26,374,276,188,78,89,250,331,285,196,173,81,108,178,491,444,235,173,203,495,0,171,0,239,240,605,676,999,985,858,513,533,690,500,553,0,0,56,27,0,0
 2019/04/11 10:18:37,373,277,190,80,90,250,330,293,196,173,81,88,171,492,443,239,173,209,505,0,171,0,224,242,611,674,998,990,863,487,532,695,489,557,0,0,59,26,0,0
 2019/04/11 10:18:47,373,275,189,78,88,248,331,320,197,174,80,81,153,492,450,233,172,214,510,0,172,0,239,240,602,671,998,990,863,501,531,694,506,553,0,0,60,27,0,0
 2019/04/11 10:18:57,374,277,188,78,90,251,333,279,198,176,77,74,147,481,419,222,175,213,490,0,173,0,237,238,603,675,998,987,863,500,534,702,447,526,0,0,60,26,0,0
 2019/04/11 10:19:08,375,276,189,76,89,251,333,289,197,175,75,76,134,484,446,223,175,212,490,0,173,0,237,237,609,672,998,981,855,488,530,697,443,570,0,0,60,26,0,0
 2019/04/11 10:19:18,376,276,189,74,88,250,333,287,197,175,73,97,139,487,444,218,175,210,487,0,174,0,238,238,608,670,998,972,846,489,526,696,435,604,0,0,60,26,0,0
 2019/04/11 10:19:28,376,276,190,73,87,251,333,289,198,175,71,121,148,486,441,213,175,207,485,0,173,0,236,237,610,673,998,965,839,494,530,702,451,549,0,0,59,28,0,0
 2019/04/11 10:19:38,376,276,190,71,86,249,334,289,198,175,69,140,159,485,441,206,176,204,487,0,173,0,231,237,609,674,998,957,834,502,526,706,476,548,0,0,59,26,0,0
 2019/04/11 10:19:49,376,277,190,70,86,249,335,289,198,175,69,154,169,484,438,202,175,202,484,0,173,0,230,236,603,681,998,954,834,519,525,702,483,529,0,0,57,26,0,0
 2019/04/11 10:19:59,376,278,190,70,86,246,335,288,199,175,71,163,178,482,434,197,175,201,484,0,173,0,228,236,605,683,999,956,847,508,531,704,477,535,0,0,53,26,0,0
