Date/Time,(A)OAT1emp,(A)OA2Temp,(A)PreCoilTemp,(A)CoilTemp,(A)SaTemp,(A)RATemp,(A)EATemp,(O)DBUnitTemp,(F)PreCoilInTemp,(F)PreCoilOutTemp,(F)CoilInTemp,(F)CoilOutTemp,(F)CompInTemp,(F)CompOutTemp,(F)WatHxInTemp,(F)WatHxOutTemp,(W)WatHxInTemp,(W)WatHxOutTemp,(O)CompCaseTemp,NaN,(W)PanelInTemp,NaN,(I)IndoorATemp,(I)IndoorBTemp,(A)OA1Hum,(A)OA2Hum,(A)PreCoilHum,(A)CoilHum,(A)SAHum,(A)RAHum,(A)EAHum,(O)DBUnitHum,(I)IndoorAHum,(I)IndoorBHum,(Flow rate 1),(Flow rate 2),(F)CompLowP,(F)CompHiP,NaN,NaN
 2019/04/17 14:10:09,220,218,282,276,276,215,217,255,265,320,230,248,232,232,268,265,320,319,232,0,320,0,230,229,402,412,295,300,311,412,403,364,398,388,0,0,50,55,0,0
 2019/04/17 14:10:19,219,218,282,276,276,216,218,255,264,319,230,248,232,232,268,265,319,318,232,0,319,0,230,229,402,412,296,300,311,412,403,381,396,388,0,0,54,52,0,0
 2019/04/17 14:10:30,219,218,281,276,276,216,218,255,264,318,230,248,232,231,268,265,319,318,232,0,319,0,231,227,402,413,296,300,312,412,403,386,396,386,0,0,50,53,0,0
 2019/04/17 14:10:40,220,218,281,276,276,216,218,255,263,318,230,248,232,232,268,265,319,317,232,0,318,0,231,227,402,413,296,300,312,411,404,382,396,386,0,0,55,52,0,0
 2019/04/17 14:10:50,219,218,281,276,275,216,218,255,263,318,230,248,232,232,268,265,318,317,232,0,318,0,230,228,403,413,297,301,312,411,404,375,397,388,0,0,52,55,0,0
 2019/04/17 14:11:00,220,219,280,275,275,216,218,254,263,317,230,248,232,232,268,265,318,316,232,0,317,0,230,228,403,412,298,301,311,410,404,364,398,390,0,0,54,51,0,0
 2019/04/17 14:11:10,220,219,280,275,275,216,218,254,262,317,230,248,232,232,268,265,317,316,232,0,317,0,231,228,403,413,298,301,312,411,403,368,396,389,0,0,54,52,0,0
 2019/04/17 14:11:21,220,219,280,275,275,216,218,255,262,316,230,247,232,232,268,265,317,316,232,0,317,0,231,227,403,413,299,302,312,410,403,362,396,387,0,0,55,52,0,0
 2019/04/17 14:11:31,220,219,280,274,274,216,218,255,262,316,230,247,232,232,268,265,318,316,232,0,318,0,231,227,403,413,299,301,312,411,404,356,399,389,0,0,51,52,0,0
 2019/04/17 14:11:41,220,219,279,274,274,216,218,254,262,317,230,248,232,231,268,265,318,317,232,0,319,0,231,228,403,413,299,301,312,410,404,353,397,387,0,0,50,55,0,0
 2019/04/17 14:11:51,219,219,279,274,274,216,218,254,262,318,230,247,232,232,268,265,319,318,232,0,319,0,230,228,403,411,299,301,312,410,403,350,399,389,0,0,52,52,0,0
 2019/04/17 14:12:01,219,219,279,273,274,216,218,254,262,318,230,247,232,231,268,265,319,318,232,0,320,0,230,228,402,412,300,302,313,410,403,347,399,389,0,0,50,52,0,0
 2019/04/17 14:12:12,220,219,279,273,273,216,218,255,261,318,230,247,232,231,267,265,320,319,232,0,320,0,230,228,402,412,300,302,313,410,403,347,396,387,0,0,53,53,0,0
 2019/04/17 14:12:22,220,219,279,273,273,216,218,254,261,319,230,247,232,231,267,265,320,319,232,0,320,0,230,227,403,412,300,302,313,409,403,346,396,387,0,0,54,52,0,0
 2019/04/17 14:12:32,220,219,279,273,273,216,218,254,261,319,230,247,232,231,267,265,320,319,232,0,320,0,229,227,402,411,300,303,314,410,403,346,395,385,0,0,54,52,0,0
 2019/04/17 14:12:42,220,219,280,273,273,216,218,254,261,319,230,247,232,231,268,265,320,319,232,0,320,0,230,227,403,412,301,303,314,409,403,351,395,386,0,0,51,54,0,0
 2019/04/17 14:12:53,220,219,280,272,273,216,218,254,261,319,230,247,232,231,268,265,320,319,232,0,320,0,230,228,402,411,300,304,314,409,403,356,399,389,0,0,51,52,0,0
 2019/04/17 14:13:03,220,219,280,273,273,217,218,254,262,319,230,247,232,231,268,265,320,319,232,0,320,0,230,228,402,411,301,304,315,409,404,354,397,387,0,0,52,52,0,0
 2019/04/17 14:13:13,220,219,280,272,272,217,218,254,262,319,230,247,232,231,268,265,320,319,232,0,320,0,230,227,402,412,301,304,315,409,404,349,396,386,0,0,52,54,0,0
 2019/04/17 14:13:23,220,219,280,273,273,217,218,254,262,319,230,247,232,231,268,265,320,319,232,0,320,0,230,227,402,411,301,304,315,409,403,346,395,386,0,0,51,55,0,0
 2019/04/17 14:13:34,220,219,280,273,273,217,218,254,262,319,230,247,232,231,268,265,320,319,232,0,320,0,230,227,403,412,301,304,315,409,403,344,395,386,0,0,51,52,0,0
 2019/04/17 14:13:44,220,219,280,273,273,216,218,254,262,319,230,247,232,231,268,265,320,319,232,0,320,0,230,227,402,411,301,305,315,409,403,342,395,387,0,0,52,51,0,0
 2019/04/17 14:13:54,220,219,280,273,273,216,218,254,262,319,230,247,232,231,268,265,320,319,232,0,320,0,230,228,403,411,301,304,315,409,403,343,397,388,0,0,51,52,0,0
 2019/04/17 14:14:04,220,219,280,273,273,217,219,254,262,319,230,247,232,231,268,265,320,319,232,0,320,0,231,229,403,411,300,304,315,409,403,343,398,389,0,0,51,52,0,0
 2019/04/17 14:14:14,220,219,280,273,273,216,218,254,262,319,230,247,232,231,268,265,319,319,232,0,318,0,231,229,403,410,300,305,316,408,403,351,397,388,0,0,52,52,0,0
 2019/04/17 14:14:25,220,219,280,273,273,216,218,254,262,318,230,247,232,231,268,265,317,316,232,0,316,0,230,229,402,410,300,304,315,409,403,357,396,387,0,0,53,51,0,0
 2019/04/17 14:14:35,220,219,280,273,273,216,218,254,262,316,230,247,232,231,268,265,314,313,232,0,313,0,230,229,403,410,301,304,315,408,402,355,395,386,0,0,50,52,0,0
 2019/04/17 14:14:45,220,219,280,273,273,215,218,254,262,313,230,247,232,231,268,265,312,311,232,0,311,0,231,229,402,410,300,304,315,409,402,351,395,387,0,0,52,52,0,0
