Date/Time,CompOutput(0-5V),SAFanOutput(4-20mA),EAFanOutput(4-20mA),PumpOutput(1-5V),PDVOutput(4-20mA),WatCoilValveOutput(4-20mA),MixingValveOutput(4-20mA),NaN
 2019/04/11 10:12:07,3379,833,333,360,35,100,60,0
 2019/04/11 10:12:17,3379,833,333,360,35,100,60,0
 2019/04/11 10:12:27,3379,833,333,360,35,100,60,0
 2019/04/11 10:12:38,3379,833,333,360,35,100,60,0
 2019/04/11 10:12:48,3379,750,500,360,35,100,60,0
 2019/04/11 10:12:58,3379,750,500,360,35,100,60,0
 2019/04/11 10:13:08,3379,750,500,360,35,100,60,0
 2019/04/11 10:13:19,3379,750,500,360,35,100,60,0
 2019/04/11 10:13:29,3379,750,500,360,35,100,60,0
 2019/04/11 10:13:39,3379,500,500,360,35,100,60,0
 2019/04/11 10:13:50,3379,500,333,360,35,100,60,0
 2019/04/11 10:14:00,3379,500,333,360,35,75,60,0
 2019/04/11 10:14:10,3379,500,333,360,35,75,66,0
 2019/04/11 10:14:21,3379,500,333,360,35,50,65,0
 2019/04/11 10:14:31,3379,500,500,360,35,50,65,0
 2019/04/11 10:14:41,3379,500,500,360,35,50,65,0
 2019/04/11 10:14:51,3234,500,500,360,35,50,65,0
 2019/04/11 10:15:02,2974,500,500,360,35,50,65,0
 2019/04/11 10:15:12,2713,500,500,360,35,50,65,0
 2019/04/11 10:15:22,2598,500,500,360,28,50,65,0
 2019/04/11 10:15:32,2598,500,500,360,35,50,65,0
 2019/04/11 10:15:42,2598,500,500,360,35,50,65,0
 2019/04/11 10:15:53,2453,500,500,360,35,50,65,0
 2019/04/11 10:16:03,2453,500,500,360,35,50,65,0
 2019/04/11 10:16:13,2453,500,500,360,35,50,65,0
 2019/04/11 10:16:24,2453,500,500,360,30,50,65,0
 2019/04/11 10:16:34,2453,500,500,360,26,50,65,0
 2019/04/11 10:16:44,2453,500,500,360,26,50,65,0
 2019/04/11 10:16:54,2453,500,500,360,24,50,65,0
 2019/04/11 10:17:04,2337,500,500,360,20,50,65,0
 2019/04/11 10:17:15,2337,500,500,360,20,50,68,0
 2019/04/11 10:17:25,2221,500,500,360,20,50,68,0
 2019/04/11 10:17:35,2221,500,500,360,35,50,68,0
 2019/04/11 10:17:45,2221,500,500,360,35,50,68,0
 2019/04/11 10:17:56,2221,500,500,360,35,50,68,0
 2019/04/11 10:18:06,2337,500,500,360,35,50,68,0
 2019/04/11 10:18:16,2453,500,500,360,35,50,68,0
 2019/04/11 10:18:26,2713,500,500,360,35,50,68,0
 2019/04/11 10:18:37,2829,500,500,360,28,50,68,0
 2019/04/11 10:18:47,2829,500,500,360,26,50,68,0
 2019/04/11 10:18:57,2713,500,500,360,26,50,68,0
 2019/04/11 10:19:08,2598,500,500,360,22,50,68,0
 2019/04/11 10:19:18,2453,500,500,360,20,50,68,0
 2019/04/11 10:19:28,2337,500,500,360,20,50,68,0
 2019/04/11 10:19:38,2221,500,500,360,20,50,68,0
 2019/04/11 10:19:49,2077,500,500,360,35,50,68,0
 2019/04/11 10:19:59,2077,500,500,360,35,50,68,0
 2019/04/11 10:20:09,2077,500,500,360,35,50,68,0
 2019/04/11 10:20:20,2337,500,500,360,35,50,68,0
 2019/04/11 10:20:30,2598,500,500,360,35,50,68,0
 2019/04/11 10:20:40,2829,500,500,360,35,50,68,0
 2019/04/11 10:20:50,2713,500,500,360,30,50,68,0
 2019/04/11 10:21:01,2829,500,500,360,28,50,68,0
 2019/04/11 10:21:11,2829,500,500,360,28,50,68,0
 2019/04/11 10:21:21,2713,500,500,360,24,50,68,0
 2019/04/11 10:21:32,2713,500,500,360,23,50,68,0
 2019/04/11 10:21:42,2713,500,500,360,21,50,68,0
 2019/04/11 10:21:52,2598,500,500,360,20,50,68,0
 2019/04/11 10:22:02,2337,500,500,360,20,50,68,0
 2019/04/11 10:22:13,2077,500,500,360,35,50,68,0
 2019/04/11 10:22:23,1961,500,500,360,35,50,68,0
 2019/04/11 10:22:33,1961,500,500,360,35,50,68,0
 2019/04/11 10:22:43,2221,500,500,360,35,50,68,0
 2019/04/11 10:22:54,2453,500,500,360,35,50,68,0
 2019/04/11 10:23:04,2713,500,500,360,35,50,68,0
 2019/04/11 10:23:14,2829,500,500,360,35,50,68,0
 2019/04/11 10:23:24,2713,500,500,360,30,50,68,0
 2019/04/11 10:23:35,2829,500,500,360,25,50,68,0
 2019/04/11 10:23:45,2713,500,500,360,23,50,68,0
 2019/04/11 10:23:55,2713,500,500,360,21,50,68,0
 2019/04/11 10:24:05,2453,500,500,360,20,50,68,0
 2019/04/11 10:24:16,2337,500,500,360,20,50,68,0
 2019/04/11 10:24:26,2077,500,500,360,35,50,68,0
 2019/04/11 10:24:36,1961,500,500,360,35,50,68,0
 2019/04/11 10:24:46,2077,500,500,360,35,50,68,0
 2019/04/11 10:24:57,2221,500,500,360,35,50,68,0
 2019/04/11 10:25:07,2453,500,500,360,35,50,68,0
 2019/04/11 10:25:17,2713,500,500,360,35,50,68,0
 2019/04/11 10:25:27,2713,500,500,360,35,50,68,0
 2019/04/11 10:25:38,2829,500,500,360,30,50,68,0
 2019/04/11 10:25:48,2829,500,500,360,30,50,68,0
 2019/04/11 10:25:58,2829,500,500,360,28,50,68,0
 2019/04/11 10:26:08,2713,500,500,360,26,50,68,0
 2019/04/11 10:26:19,2713,500,500,360,26,50,68,0
 2019/04/11 10:26:29,2598,500,500,360,25,50,68,0
 2019/04/11 10:26:39,2337,500,500,360,23,50,68,0
 2019/04/11 10:26:49,2221,500,500,360,23,50,68,0
 2019/04/11 10:27:00,2077,500,500,360,35,50,68,0
 2019/04/11 10:27:10,2077,500,500,360,35,50,68,0
 2019/04/11 10:27:20,2221,500,500,360,35,50,68,0
 2019/04/11 10:27:31,2337,500,500,360,35,50,68,0
 2019/04/11 10:27:41,2453,500,500,360,35,50,68,0
 2019/04/11 10:27:51,2598,500,500,360,35,50,68,0
 2019/04/11 10:28:02,2713,500,500,360,35,50,68,0
 2019/04/11 10:28:12,2713,500,500,360,35,50,68,0
 2019/04/11 10:28:22,2713,500,500,360,29,50,68,0
 2019/04/11 10:28:32,2713,500,500,360,29,50,68,0
 2019/04/11 10:28:43,2713,500,500,360,28,50,68,0
 2019/04/11 10:28:53,2713,500,500,360,26,50,68,0
 2019/04/11 10:29:03,2453,500,500,360,26,50,68,0
 2019/04/11 10:29:14,2453,500,500,360,25,50,68,0
 2019/04/11 10:29:24,2221,500,500,360,23,50,68,0
 2019/04/11 10:29:34,2221,500,500,360,23,50,68,0
 2019/04/11 10:29:44,2221,500,500,360,35,50,68,0
 2019/04/11 10:29:55,2221,500,500,360,35,50,68,0
 2019/04/11 10:30:05,2337,500,500,360,35,50,68,0
 2019/04/11 10:30:15,2453,500,500,360,35,50,68,0
 2019/04/11 10:30:25,2713,500,500,360,35,50,68,0
 2019/04/11 10:30:35,2713,500,500,360,35,50,68,0
 2019/04/11 10:30:46,2713,500,500,360,35,50,68,0
 2019/04/11 10:30:56,2713,500,500,360,30,50,68,0
 2019/04/11 10:31:06,2713,500,500,360,29,50,68,0
 2019/04/11 10:31:17,2713,500,500,360,29,50,68,0
 2019/04/11 10:31:27,2598,500,500,360,27,50,68,0
 2019/04/11 10:31:37,2598,500,500,360,26,50,68,0
 2019/04/11 10:31:47,2598,500,500,360,26,50,68,0
 2019/04/11 10:31:58,2453,500,500,360,35,50,68,0
 2019/04/11 10:32:08,2453,500,500,360,35,50,68,0
 2019/04/11 10:32:18,2453,500,500,360,35,50,68,0
 2019/04/11 10:32:28,2453,500,500,360,35,50,68,0
 2019/04/11 10:32:39,2453,500,500,360,35,50,68,0
 2019/04/11 10:32:49,2598,500,500,360,35,50,68,0
 2019/04/11 10:32:59,2598,500,500,360,35,50,68,0
 2019/04/11 10:33:09,2713,500,500,360,35,50,68,0
 2019/04/11 10:33:20,2713,500,500,360,35,50,68,0
 2019/04/11 10:33:30,2713,500,500,360,35,50,68,0
 2019/04/11 10:33:40,2713,500,500,360,30,50,68,0
 2019/04/11 10:33:50,2713,500,500,360,29,50,68,0
 2019/04/11 10:34:00,2598,500,500,360,29,50,68,0
