Date/Time,CompOutput(0-5V),SAFanOutput(4-20mA),EAFanOutput(4-20mA),PumpOutput(1-5V),PDVOutput(4-20mA),WatCoilValveOutput(4-20mA),MixingValveOutput(4-20mA),NaN
 2019/04/17 13:03:48,0,0,0,0,0,0,0,0
 2019/04/17 13:06:19,0,750,750,100,0,30,76,0
 2019/04/17 13:06:30,0,0,0,100,0,30,76,0
 2019/04/17 13:06:40,0,0,0,100,0,30,76,0
 2019/04/17 13:06:50,0,0,0,100,0,30,76,0
 2019/04/17 13:07:00,0,0,0,100,0,30,76,0
 2019/04/17 13:07:10,0,0,0,100,0,30,76,0
 2019/04/17 13:07:21,0,0,0,100,0,30,76,0
 2019/04/17 13:07:31,0,0,0,100,0,30,76,0
 2019/04/17 13:07:41,0,0,0,100,0,30,76,0
 2019/04/17 13:07:52,0,0,0,100,0,30,76,0
 2019/04/17 13:08:02,0,0,0,100,0,30,76,0
 2019/04/17 13:08:12,0,0,0,100,0,30,76,0
 2019/04/17 13:08:22,0,0,0,100,0,30,76,0
 2019/04/17 13:08:33,0,0,0,100,0,30,76,0
 2019/04/17 13:08:43,0,0,0,100,0,30,76,0
 2019/04/17 13:08:53,0,0,0,100,0,30,76,0
 2019/04/17 13:09:03,0,0,0,100,0,30,76,0
 2019/04/17 13:09:14,0,0,0,100,0,30,76,0
 2019/04/17 13:09:24,0,0,0,100,0,30,76,0
 2019/04/17 13:09:34,0,0,0,100,0,30,76,0
 2019/04/17 13:09:44,0,750,750,500,0,0,0,0
 2019/04/17 13:09:55,0,750,750,500,0,15,8,0
 2019/04/17 13:10:05,0,750,750,500,0,15,8,0
 2019/04/17 13:10:15,0,750,750,500,0,30,17,0
 2019/04/17 13:10:26,0,750,750,500,0,45,32,0
 2019/04/17 13:10:36,0,750,750,500,0,45,32,0
 2019/04/17 13:10:46,0,750,750,500,0,60,47,0
 2019/04/17 13:10:56,0,750,750,500,0,75,37,0
 2019/04/17 13:11:07,0,750,750,500,0,90,41,0
 2019/04/17 13:11:17,0,750,750,100,0,90,41,0
 2019/04/17 13:11:27,0,750,750,100,0,100,56,0
 2019/04/17 13:11:37,0,750,750,100,0,100,71,0
 2019/04/17 13:11:48,0,750,750,100,0,100,71,0
 2019/04/17 13:11:58,0,750,750,100,0,100,86,0
 2019/04/17 13:12:08,0,750,750,100,0,100,100,0
 2019/04/17 13:12:18,0,750,750,100,0,100,100,0
 2019/04/17 13:12:28,0,750,750,100,0,100,100,0
 2019/04/17 13:12:39,0,750,750,100,0,100,100,0
 2019/04/17 13:12:49,0,750,750,400,0,100,100,0
 2019/04/17 13:12:59,0,750,750,400,0,100,100,0
 2019/04/17 13:13:09,0,750,750,400,0,100,100,0
 2019/04/17 13:13:20,0,750,750,400,0,100,100,0
 2019/04/17 13:13:30,0,750,750,500,0,100,100,0
 2019/04/17 13:13:40,0,750,750,500,0,100,100,0
 2019/04/17 13:13:50,0,750,750,400,0,100,100,0
 2019/04/17 13:14:01,0,750,750,400,0,100,100,0
 2019/04/17 13:14:11,0,750,750,100,0,100,100,0
 2019/04/17 13:14:22,0,750,750,100,0,100,100,0
 2019/04/17 13:14:32,0,750,750,400,0,100,100,0
 2019/04/17 13:14:42,0,750,750,500,0,100,100,0
 2019/04/17 13:14:52,0,750,750,500,0,100,100,0
 2019/04/17 13:15:03,0,750,750,500,0,100,100,0
 2019/04/17 13:15:13,0,750,750,500,0,100,100,0
 2019/04/17 13:15:23,0,750,750,500,0,100,92,0
 2019/04/17 13:15:33,0,750,750,500,0,100,92,0
 2019/04/17 13:15:43,0,750,750,500,0,100,82,0
 2019/04/17 13:15:54,0,750,750,500,0,100,72,0
 2019/04/17 13:16:04,0,750,750,500,0,100,72,0
 2019/04/17 13:16:14,0,750,750,500,0,100,66,0
 2019/04/17 13:16:24,0,750,750,500,0,100,69,0
 2019/04/17 13:16:34,0,750,750,500,0,100,69,0
 2019/04/17 13:16:45,0,750,750,500,0,100,68,0
 2019/04/17 13:16:55,0,750,750,500,0,100,65,0
 2019/04/17 13:17:05,0,750,750,500,0,100,65,0
 2019/04/17 13:17:15,0,750,750,500,0,100,64,0
 2019/04/17 13:17:25,0,750,750,500,0,100,63,0
 2019/04/17 13:17:36,0,750,750,500,0,100,63,0
 2019/04/17 13:17:46,0,750,750,500,0,100,61,0
 2019/04/17 13:17:56,0,750,750,500,0,100,62,0
 2019/04/17 13:18:07,0,750,750,500,0,100,60,0
 2019/04/17 13:18:17,0,750,750,500,0,100,60,0
 2019/04/17 13:18:27,0,750,750,500,0,100,59,0
 2019/04/17 13:18:37,0,750,750,500,0,100,59,0
 2019/04/17 13:18:48,0,750,750,500,0,100,58,0
 2019/04/17 13:18:58,0,750,750,500,0,100,57,0
 2019/04/17 13:19:08,0,750,750,500,0,100,55,0
 2019/04/17 13:19:18,0,750,750,500,0,100,55,0
 2019/04/17 13:19:29,0,750,750,500,0,100,54,0
 2019/04/17 13:19:39,0,750,750,500,0,100,53,0
 2019/04/17 13:19:49,0,750,750,500,0,100,53,0
 2019/04/17 13:19:59,0,750,750,500,0,100,52,0
 2019/04/17 13:20:09,0,750,750,500,0,100,50,0
 2019/04/17 13:20:20,0,750,750,500,0,100,50,0
 2019/04/17 13:20:30,0,750,750,500,0,100,48,0
 2019/04/17 13:20:40,0,750,750,500,0,100,47,0
 2019/04/17 13:20:50,0,750,750,500,0,100,47,0
 2019/04/17 13:21:01,0,750,750,500,0,100,44,0
 2019/04/17 13:21:11,0,750,750,500,0,100,43,0
 2019/04/17 13:21:21,0,750,750,500,0,100,41,0
 2019/04/17 13:21:32,0,750,750,500,0,100,41,0
 2019/04/17 13:21:42,0,750,750,500,0,100,38,0
 2019/04/17 13:21:52,0,750,750,500,0,100,37,0
 2019/04/17 13:22:02,0,750,750,500,0,100,37,0
 2019/04/17 13:22:13,0,750,750,500,0,100,34,0
 2019/04/17 13:22:23,0,750,750,500,0,100,31,0
 2019/04/17 13:22:33,0,750,750,500,0,100,31,0
 2019/04/17 13:22:44,0,750,750,500,0,100,29,0
 2019/04/17 13:22:54,0,750,750,500,0,100,26,0
 2019/04/17 13:23:04,0,750,750,500,0,100,26,0
