Date/Time,(A)OAT1emp,(A)OA2Temp,(A)PreCoilTemp,(A)CoilTemp,(A)SaTemp,(A)RATemp,(A)EATemp,(O)DBUnitTemp,(F)PreCoilInTemp,(F)PreCoilOutTemp,(F)CoilInTemp,(F)CoilOutTemp,(F)CompInTemp,(F)CompOutTemp,(F)WatHxInTemp,(F)WatHxOutTemp,(W)WatHxInTemp,(W)WatHxOutTemp,(O)CompCaseTemp,NaN,(W)PanelInTemp,NaN,(I)IndoorATemp,(I)IndoorBTemp,(A)OA1Hum,(A)OA2Hum,(A)PreCoilHum,(A)CoilHum,(A)SAHum,(A)RAHum,(A)EAHum,(O)DBUnitHum,(I)IndoorAHum,(I)IndoorBHum,(Flow rate 1),(Flow rate 2),(F)CompLowP,(F)CompHiP,NaN,NaN
 2019/04/08 11:56:54,386,294,205,98,111,260,335,286,214,174,93,203,220,571,522,195,174,230,575,0,172,0,259,243,554,705,963,948,909,564,513,705,551,622,0,0,78,28,0,0
 2019/04/08 11:57:56,384,293,206,98,112,256,338,282,216,174,95,203,223,570,524,195,174,226,563,0,171,0,251,250,551,702,970,948,896,567,515,708,550,625,0,0,72,29,0,0
 2019/04/08 11:58:57,387,295,206,100,112,258,336,285,215,174,95,204,222,569,523,195,176,249,571,0,171,0,256,254,566,708,968,956,912,570,528,713,556,605,0,0,80,28,0,0
 2019/04/08 11:59:59,387,295,212,100,113,262,336,287,222,174,97,207,225,572,522,206,173,237,562,0,171,0,251,246,573,701,988,958,908,548,514,720,520,607,0,0,76,29,0,0
 2019/04/08 12:01:00,386,291,204,99,112,262,331,286,214,173,93,204,223,573,524,195,175,231,574,0,172,0,253,252,525,688,955,953,899,556,499,699,527,607,0,0,77,28,0,0
 2019/04/08 12:02:02,381,287,207,99,111,259,326,289,216,174,97,206,224,562,519,200,174,241,567,0,172,0,246,247,545,689,978,953,897,546,517,698,524,613,0,0,70,29,0,0
 2019/04/08 12:03:03,381,291,204,100,113,262,330,286,214,173,95,203,221,572,524,199,175,230,576,0,171,0,259,250,543,697,960,956,897,562,520,689,556,602,0,0,78,28,0,0
 2019/04/08 12:04:05,377,293,203,96,109,260,333,288,213,173,92,202,221,572,525,194,175,228,574,0,171,0,251,253,566,703,958,939,891,565,523,695,554,598,0,0,75,28,0,0
 2019/04/08 12:05:06,373,296,204,102,113,256,336,320,213,173,97,203,225,557,522,192,172,225,557,0,171,0,253,247,570,706,962,967,912,567,524,659,553,622,0,0,73,31,0,0
 2019/04/08 12:06:08,373,293,203,98,111,261,333,286,213,173,92,202,220,568,521,193,174,229,565,0,171,0,251,250,576,698,964,946,900,568,520,696,558,621,0,0,76,29,0,0
 2019/04/08 12:07:09,373,294,204,95,108,259,332,288,214,174,91,203,222,570,522,194,174,231,558,0,172,0,257,248,607,700,968,942,900,571,524,686,558,608,0,0,76,28,0,0
 2019/04/08 12:08:11,372,294,204,96,109,259,333,288,214,174,92,204,222,572,524,194,173,230,561,0,172,0,248,251,597,703,969,950,912,571,532,700,558,619,0,0,76,30,0,0
 2019/04/08 12:09:12,371,292,204,96,109,257,331,289,214,174,91,204,222,574,525,193,174,231,556,0,172,0,254,252,592,696,968,951,902,564,530,702,544,602,0,0,76,28,0,0
 2019/04/08 12:10:14,372,292,204,96,110,261,331,289,213,174,92,204,223,573,525,194,174,229,557,0,172,0,252,251,613,700,968,954,908,545,536,690,531,618,0,0,76,29,0,0
 2019/04/08 12:11:15,369,285,202,96,110,259,321,289,212,174,92,204,222,574,525,194,175,230,562,0,172,0,255,249,554,680,966,954,903,553,514,701,520,599,0,0,76,29,0,0
 2019/04/08 12:12:17,369,284,200,94,108,258,320,286,209,174,89,201,220,576,527,194,174,230,555,0,172,0,254,252,570,694,961,945,908,562,537,699,547,596,0,0,75,28,0,0
 2019/04/08 12:13:18,369,287,202,94,106,258,323,286,211,175,90,202,221,577,527,195,175,251,570,0,175,0,252,251,593,700,970,950,900,566,542,689,548,584,0,0,81,30,0,0
 2019/04/08 12:14:20,370,290,203,96,109,262,326,287,213,174,92,203,222,575,526,199,175,230,568,0,171,0,253,254,586,711,970,960,922,564,550,692,551,612,0,0,77,28,0,0
 2019/04/08 12:15:21,369,291,203,95,107,260,327,285,213,174,90,203,221,576,527,195,174,229,567,0,171,0,253,253,597,706,966,951,906,571,544,693,556,607,0,0,76,27,0,0
 2019/04/08 12:16:22,370,291,203,95,108,258,328,285,213,174,91,203,222,576,526,194,174,230,573,0,171,0,253,254,603,705,967,955,900,568,544,700,549,608,0,0,76,28,0,0
 2019/04/08 12:17:24,371,291,203,95,110,260,328,285,213,174,91,204,222,576,528,194,173,229,568,0,171,0,253,257,610,697,968,955,912,525,539,707,510,592,0,0,75,28,0,0
 2019/04/08 12:18:25,371,289,202,95,109,257,326,286,212,174,90,203,222,578,527,194,175,228,576,0,171,0,252,255,598,704,965,955,906,557,542,711,545,585,0,0,75,28,0,0
 2019/04/08 12:19:27,370,290,202,95,106,259,328,286,213,174,90,204,222,578,527,194,174,228,567,0,171,0,253,254,601,709,968,953,917,552,546,699,541,587,0,0,75,28,0,0
 2019/04/08 12:20:28,370,291,210,95,108,257,328,287,218,176,92,206,224,579,527,201,177,257,558,0,172,0,253,258,603,708,987,957,916,555,546,715,543,586,0,0,76,28,0,0
 2019/04/08 12:21:30,369,286,202,97,110,261,321,286,213,174,93,206,224,577,528,198,175,230,560,0,172,0,252,253,551,691,966,967,920,561,527,700,544,592,0,0,75,28,0,0
 2019/04/08 12:22:31,369,280,199,95,107,259,316,287,208,174,89,201,221,577,527,195,175,229,562,0,171,0,253,262,559,681,954,949,903,528,537,697,518,587,0,0,76,28,0,0
 2019/04/08 12:23:33,369,287,200,92,107,260,322,286,210,174,88,201,220,577,528,194,175,229,568,0,172,0,253,252,589,711,966,943,898,559,559,700,545,588,0,0,75,27,0,0
 2019/04/08 12:24:34,370,288,206,97,110,260,324,288,217,174,93,206,224,577,528,207,175,229,577,0,171,0,252,263,612,704,989,970,929,541,547,705,526,584,0,0,76,28,0,0
 2019/04/08 12:25:36,370,289,210,97,109,261,325,286,219,175,94,206,225,580,531,208,175,255,558,0,172,0,253,263,602,709,988,967,923,542,546,700,537,582,0,0,78,30,0,0
 2019/04/08 12:26:37,370,291,209,99,112,259,328,284,219,175,95,208,226,579,531,206,175,257,567,0,172,0,256,254,627,709,981,972,919,556,545,707,544,569,0,0,79,29,0,0
 2019/04/08 12:27:39,371,291,208,101,114,260,328,289,220,175,96,210,228,581,532,208,176,234,571,0,171,0,249,256,617,703,976,974,931,551,543,712,521,594,0,0,76,30,0,0
 2019/04/08 12:28:40,371,292,206,99,111,258,328,288,217,175,94,208,226,580,531,201,177,233,561,0,172,0,255,255,614,707,964,957,917,560,545,715,547,589,0,0,76,28,0,0
 2019/04/08 12:29:42,371,291,206,98,110,259,327,287,216,175,92,208,226,582,532,198,175,257,595,0,173,0,254,267,610,704,967,953,909,562,546,719,548,586,0,0,81,28,0,0
 2019/04/08 12:30:43,370,292,204,99,111,262,329,287,216,174,93,209,227,581,532,199,175,232,586,0,172,0,260,261,605,712,961,959,912,568,552,709,556,600,0,0,76,28,0,0
 2019/04/08 12:31:45,367,286,203,97,109,260,320,288,213,174,91,207,226,580,532,196,174,228,577,0,172,0,251,256,562,681,958,952,902,563,523,718,539,589,0,0,75,28,0,0
 2019/04/08 12:32:46,369,283,203,96,108,261,319,286,213,175,92,205,224,581,532,201,175,232,553,0,172,0,257,264,570,691,969,953,904,544,545,695,523,591,0,0,77,28,0,0
 2019/04/08 12:33:48,369,285,203,95,107,261,319,285,212,175,90,204,223,581,531,199,178,248,558,0,173,0,246,258,579,697,968,949,903,544,549,700,504,581,0,0,79,28,0,0
 2019/04/08 12:34:49,370,289,207,97,107,261,323,290,218,175,93,207,226,581,532,205,173,247,567,0,173,0,257,256,568,707,983,961,913,566,549,678,555,580,0,0,79,28,0,0
 2019/04/08 12:35:51,370,289,203,97,110,261,324,289,213,174,92,206,225,580,531,201,175,232,567,0,172,0,254,265,583,707,962,964,914,559,552,703,550,579,0,0,75,29,0,0
 2019/04/08 12:36:52,370,289,206,97,109,261,325,290,217,175,92,207,226,580,532,202,175,236,572,0,173,0,251,255,594,706,976,959,912,565,548,695,551,572,0,0,74,28,0,0
 2019/04/08 12:37:54,372,290,204,97,108,261,327,288,215,175,91,207,226,580,532,200,177,229,558,0,173,0,256,254,593,706,970,959,915,559,548,709,550,571,0,0,78,28,0,0
 2019/04/08 12:38:55,371,291,208,98,111,259,327,289,218,176,93,209,228,583,532,203,178,262,571,0,172,0,262,263,613,702,981,961,917,561,545,712,545,579,0,0,76,28,0,0
 2019/04/08 12:39:57,371,291,212,101,113,263,327,289,222,176,97,212,230,584,533,211,175,269,582,0,173,0,258,266,604,704,987,973,929,560,543,705,545,581,0,0,76,30,0,0
 2019/04/08 12:40:58,371,291,215,102,117,260,327,287,223,177,99,213,231,586,536,217,180,281,571,0,172,0,244,259,596,704,990,973,927,558,545,709,537,584,0,0,81,29,0,0
 2019/04/08 12:42:00,371,286,212,104,116,264,321,289,222,176,99,213,232,586,537,215,176,279,572,0,173,0,249,257,535,687,981,975,925,561,522,713,551,579,0,0,81,29,0,0
 2019/04/08 12:43:01,371,285,204,102,116,264,320,290,214,176,96,209,228,585,536,208,175,232,604,0,172,0,263,276,577,695,945,961,915,555,546,699,533,578,0,0,76,30,0,0
 2019/04/08 12:44:03,370,288,205,98,114,262,323,287,215,176,92,208,227,585,535,203,174,264,587,0,174,0,249,261,590,700,961,943,898,553,546,704,524,573,0,0,83,28,0,0
 2019/04/08 12:45:04,372,289,206,99,111,260,325,286,216,175,94,210,229,585,536,206,176,234,580,0,174,0,261,257,594,703,963,959,914,565,547,699,544,573,0,0,77,28,0,0
 2019/04/08 12:46:06,371,291,210,97,112,261,327,288,220,179,91,211,229,585,533,199,179,239,551,0,175,0,250,269,588,701,980,951,910,554,544,710,513,572,0,0,78,28,0,0
 2019/04/08 12:47:07,371,291,211,101,115,262,326,286,222,175,96,215,234,585,536,202,176,224,549,0,172,0,251,262,592,699,983,971,918,559,540,703,531,576,0,0,75,29,0,0
 2019/04/08 12:48:09,371,291,209,100,115,262,327,287,220,175,94,213,231,587,537,199,176,238,568,0,175,0,266,257,590,702,969,965,910,563,540,671,546,572,0,0,79,29,0,0
 2019/04/08 12:49:11,372,290,204,174,177,261,327,288,215,175,165,228,257,556,476,185,175,175,562,0,172,0,256,263,590,699,949,997,989,561,540,713,546,574,0,0,42,42,0,0
 2019/04/08 12:50:12,373,290,203,198,200,263,326,287,213,175,189,232,284,518,203,190,175,176,549,0,172,0,258,262,578,700,953,996,987,560,546,704,527,584,0,0,44,45,0,0
 2019/04/08 12:51:13,374,291,203,200,203,265,329,289,214,175,197,235,297,485,255,196,175,175,540,0,173,0,256,261,589,707,961,995,987,559,549,717,517,600,0,0,44,46,0,0
 2019/04/08 12:52:15,372,286,203,203,206,263,320,289,213,175,203,238,304,456,273,200,175,174,531,0,173,0,258,261,538,681,963,995,988,554,526,715,536,604,0,0,45,47,0,0
 2019/04/08 12:53:16,374,286,201,203,206,264,321,290,211,176,205,229,308,435,274,203,176,174,524,0,173,0,257,261,563,690,961,995,989,561,542,711,546,608,0,0,45,47,0,0
