Date/Time,CompOutput(0-5V),SAFanOutput(4-20mA),EAFanOutput(4-20mA),PumpOutput(1-5V),PDVOutput(4-20mA),WatCoilValveOutput(4-20mA),MixingValveOutput(4-20mA),NaN
 2019/04/08 11:56:54,3177,750,750,360,30,50,65,0
 2019/04/08 11:57:56,2916,750,750,360,30,50,65,0
 2019/04/08 11:58:57,3177,750,750,360,30,50,65,0
 2019/04/08 11:59:59,3177,750,750,360,30,50,65,0
 2019/04/08 12:01:00,3177,750,750,360,30,50,65,0
 2019/04/08 12:02:02,2916,750,750,360,30,50,65,0
 2019/04/08 12:03:03,3177,750,750,360,30,50,65,0
 2019/04/08 12:04:05,3119,750,750,360,30,50,65,0
 2019/04/08 12:05:06,2916,750,750,360,30,50,65,0
 2019/04/08 12:06:08,3177,750,750,360,30,50,65,0
 2019/04/08 12:07:09,3177,750,750,360,30,50,65,0
 2019/04/08 12:08:11,3177,750,750,360,30,50,65,0
 2019/04/08 12:09:12,3177,750,750,360,30,50,65,0
 2019/04/08 12:10:14,3177,750,750,360,30,50,65,0
 2019/04/08 12:11:15,3177,750,750,360,30,50,65,0
 2019/04/08 12:12:17,3177,750,750,360,30,50,65,0
 2019/04/08 12:13:18,3177,750,750,360,30,50,65,0
 2019/04/08 12:14:20,3177,750,750,360,30,50,65,0
 2019/04/08 12:15:21,3177,750,750,360,30,50,65,0
 2019/04/08 12:16:22,3177,750,750,360,30,50,65,0
 2019/04/08 12:17:24,3177,750,750,360,30,50,65,0
 2019/04/08 12:18:25,3177,750,750,360,30,50,65,0
 2019/04/08 12:19:27,3177,750,750,360,30,50,65,0
 2019/04/08 12:20:28,3177,750,750,360,30,50,65,0
 2019/04/08 12:21:30,3177,750,750,360,30,50,65,0
 2019/04/08 12:22:31,3177,750,750,360,30,50,65,0
 2019/04/08 12:23:33,3177,750,750,360,30,50,65,0
 2019/04/08 12:24:34,3177,750,750,360,30,50,65,0
 2019/04/08 12:25:36,3177,750,750,360,30,50,65,0
 2019/04/08 12:26:37,3177,750,750,360,30,50,65,0
 2019/04/08 12:27:39,3177,750,750,360,30,50,65,0
 2019/04/08 12:28:40,3177,750,750,360,30,50,65,0
 2019/04/08 12:29:42,3177,750,750,360,30,50,65,0
 2019/04/08 12:30:43,3177,750,750,360,30,50,65,0
 2019/04/08 12:31:45,3177,750,750,360,30,50,65,0
 2019/04/08 12:32:46,3177,750,750,360,30,50,65,0
 2019/04/08 12:33:48,3177,750,750,360,30,50,65,0
 2019/04/08 12:34:49,3177,750,750,360,30,50,65,0
 2019/04/08 12:35:51,3177,750,750,360,30,50,65,0
 2019/04/08 12:36:52,3177,750,750,360,30,50,65,0
 2019/04/08 12:37:54,3177,750,750,360,30,50,65,0
 2019/04/08 12:38:55,3177,750,750,360,30,50,65,0
 2019/04/08 12:39:57,3177,750,750,360,30,50,65,0
 2019/04/08 12:40:58,3177,750,750,360,30,50,65,0
 2019/04/08 12:42:00,3177,750,750,360,30,50,65,0
 2019/04/08 12:43:01,3177,750,750,360,30,50,65,0
 2019/04/08 12:44:03,3177,750,750,360,30,50,65,0
 2019/04/08 12:45:04,3177,750,750,360,30,50,65,0
 2019/04/08 12:46:06,3177,750,750,360,30,65,65,0
 2019/04/08 12:47:07,3177,750,750,360,30,50,65,0
 2019/04/08 12:48:09,3177,750,750,360,30,50,65,0
 2019/04/08 12:49:11,0,750,750,360,30,50,65,0
 2019/04/08 12:50:12,0,750,750,360,32,50,65,0
 2019/04/08 12:51:13,0,750,750,360,32,50,65,0
 2019/04/08 12:52:15,0,750,750,360,32,50,65,0
 2019/04/08 12:53:16,0,750,750,360,32,50,65,0
 2019/04/08 12:54:17,0,833,833,360,32,50,65,0
 2019/04/08 12:55:19,0,750,750,360,47,0,65,0
 2019/04/08 12:56:20,1440,750,750,360,100,50,65,0
 2019/04/08 12:57:22,1585,750,750,360,55,50,65,0
 2019/04/08 12:58:23,1585,750,750,360,32,50,65,0
 2019/04/08 12:59:25,3177,750,750,360,32,50,65,0
 2019/04/08 13:00:26,3177,750,750,360,32,50,65,0
 2019/04/08 13:01:28,3177,750,750,360,32,50,65,0
 2019/04/08 13:02:30,3177,750,750,360,32,50,65,0
 2019/04/08 13:03:31,3177,750,750,360,32,50,65,0
 2019/04/08 13:04:33,3177,750,750,360,32,50,65,0
 2019/04/08 13:05:34,3177,750,750,360,33,50,65,0
 2019/04/08 13:06:36,3177,750,750,360,31,50,65,0
 2019/04/08 13:07:37,3177,750,750,360,31,50,65,0
 2019/04/08 13:08:39,3177,750,750,360,32,50,65,0
 2019/04/08 13:09:40,3177,750,750,360,32,50,65,0
 2019/04/08 13:10:42,3177,750,750,360,32,50,65,0
 2019/04/08 13:11:44,3177,750,750,360,32,50,65,0
 2019/04/08 13:12:45,3177,750,750,360,32,84,65,0
 2019/04/08 13:13:47,3177,750,750,360,30,83,65,0
 2019/04/08 13:14:49,3177,750,750,360,30,100,65,0
 2019/04/08 13:15:51,3177,750,750,360,35,61,65,0
 2019/04/08 13:16:52,3177,750,750,360,35,61,65,0
 2019/04/08 13:17:54,3177,750,750,360,35,61,65,0
 2019/04/08 13:18:55,3177,750,750,360,35,50,65,0
 2019/04/08 13:19:57,3177,750,750,360,35,75,65,0
 2019/04/08 13:20:58,3177,750,750,360,35,50,65,0
 2019/04/08 13:22:00,3177,750,750,360,35,50,65,0
 2019/04/08 13:23:01,3177,750,750,360,35,61,65,0
 2019/04/08 13:24:02,3177,750,750,360,35,61,65,0
 2019/04/08 13:25:04,3177,750,750,360,35,50,65,0
 2019/04/08 13:26:06,3177,750,750,360,35,50,65,0
 2019/04/08 13:27:07,3177,750,750,360,35,50,65,0
 2019/04/08 13:27:25,3177,750,750,360,35,50,65,0
 2019/04/08 13:27:36,3177,750,750,360,35,50,65,0
 2019/04/08 13:27:46,3177,750,750,360,35,50,65,0
 2019/04/08 13:27:56,3177,750,750,360,35,50,65,0
 2019/04/08 13:28:06,3177,750,750,360,35,50,65,0
 2019/04/08 13:28:17,3177,750,750,360,35,50,65,0
 2019/04/08 13:28:27,3177,750,750,360,35,61,65,0
 2019/04/08 13:28:37,3177,750,750,360,35,61,65,0
 2019/04/08 13:28:47,3177,750,750,360,35,50,65,0
 2019/04/08 13:28:58,3177,750,750,360,35,50,65,0
 2019/04/08 13:29:08,3177,750,750,360,35,50,65,0
 2019/04/08 13:29:18,3177,750,750,360,35,50,65,0
 2019/04/08 13:29:29,3177,750,750,360,35,50,65,0
 2019/04/08 13:29:39,3177,750,750,360,35,50,65,0
 2019/04/08 13:29:49,3177,750,750,360,35,50,65,0
 2019/04/08 13:29:59,3177,750,750,360,35,50,65,0
 2019/04/08 13:30:10,3177,750,750,360,35,50,65,0
 2019/04/08 13:30:20,3177,750,750,360,35,50,65,0
 2019/04/08 13:30:30,3177,750,750,360,35,61,65,0
 2019/04/08 13:30:40,3177,750,750,360,35,61,65,0
 2019/04/08 13:30:51,3177,750,750,360,35,50,65,0
 2019/04/08 13:31:01,3177,750,750,360,35,50,65,0
 2019/04/08 13:31:11,3177,750,750,360,35,50,65,0
 2019/04/08 13:31:21,3177,750,750,360,35,75,65,0
 2019/04/08 13:31:31,3177,750,750,360,35,75,65,0
 2019/04/08 13:31:42,3177,750,750,360,35,50,65,0
 2019/04/08 13:31:52,3177,750,750,360,35,50,65,0
 2019/04/08 13:32:02,3177,750,750,360,35,75,65,0
 2019/04/08 13:32:12,3177,750,750,360,35,75,65,0
 2019/04/08 13:32:23,3177,750,750,360,35,75,65,0
 2019/04/08 13:32:33,3177,750,750,360,35,50,65,0
 2019/04/08 13:32:43,3177,750,750,360,35,50,65,0
 2019/04/08 13:32:54,3177,750,750,360,35,61,65,0
 2019/04/08 13:33:04,3177,750,750,360,35,61,65,0
 2019/04/08 13:33:14,3177,750,750,360,35,61,65,0
 2019/04/08 13:33:24,3177,750,750,360,35,50,65,0
 2019/04/08 13:33:34,3177,750,750,360,35,50,65,0
