Date/Time,CompOutput(0-5V),SAFanOutput(4-20mA),EAFanOutput(4-20mA),PumpOutput(1-5V),PDVOutput(4-20mA),WatCoilValveOutput(4-20mA),MixingValveOutput(4-20mA),NaN
 2019/04/09 09:52:51,0,0,0,0,0,0,0,0
 2019/04/09 10:21:38,2974,750,750,360,35,50,70,0
 2019/04/09 10:21:48,2598,750,750,360,35,50,70,0
 2019/04/09 10:21:59,2598,750,750,360,35,50,70,0
 2019/04/09 10:22:09,3032,750,750,360,35,50,70,0
 2019/04/09 10:22:20,3379,750,750,360,35,50,70,0
 2019/04/09 10:22:30,3379,750,750,360,35,50,70,0
 2019/04/09 10:22:40,3379,750,750,360,35,50,70,0
 2019/04/09 10:22:50,3379,750,750,360,35,50,70,0
 2019/04/09 10:23:01,3379,750,750,360,35,50,70,0
 2019/04/09 10:23:11,3379,750,750,360,35,50,70,0
 2019/04/09 10:23:21,3234,750,750,360,35,50,70,0
 2019/04/09 10:23:31,3234,750,750,360,35,50,70,0
 2019/04/09 10:23:42,3090,750,750,360,35,50,70,0
 2019/04/09 10:23:52,3090,750,750,360,35,50,70,0
 2019/04/09 10:24:02,3350,750,750,360,35,50,70,0
 2019/04/09 10:24:12,3350,750,750,360,35,50,70,0
 2019/04/09 10:24:23,3379,750,750,360,35,50,70,0
 2019/04/09 10:24:33,3379,750,750,360,35,50,70,0
 2019/04/09 10:24:43,3379,750,750,360,35,50,70,0
 2019/04/09 10:24:54,3379,750,750,360,35,50,70,0
 2019/04/09 10:25:04,3379,750,750,360,35,50,70,0
 2019/04/09 10:25:14,3379,750,750,360,35,50,70,0
 2019/04/09 10:25:24,3379,750,750,360,35,50,70,0
 2019/04/09 10:25:35,3379,750,750,360,35,50,70,0
 2019/04/09 10:25:45,3379,750,750,360,35,50,70,0
 2019/04/09 10:25:55,3379,750,750,360,35,50,65,0
 2019/04/09 10:26:05,3379,750,750,360,35,50,65,0
 2019/04/09 10:26:16,3379,750,750,360,35,50,65,0
 2019/04/09 10:26:26,3379,750,750,360,35,50,65,0
 2019/04/09 10:26:37,3379,750,750,360,35,50,65,0
 2019/04/09 10:26:47,3379,750,750,360,35,50,65,0
 2019/04/09 10:26:57,3379,750,750,360,35,50,65,0
 2019/04/09 10:27:07,3379,750,750,360,35,50,65,0
 2019/04/09 10:27:17,3379,750,750,360,35,50,65,0
 2019/04/09 10:27:28,3379,750,750,360,35,50,65,0
 2019/04/09 10:27:38,3379,750,750,360,35,50,65,0
 2019/04/09 10:27:48,3379,750,750,360,35,50,65,0
 2019/04/09 10:27:59,3379,750,750,360,35,50,65,0
 2019/04/09 10:28:09,3379,750,750,360,35,50,65,0
 2019/04/09 10:28:19,3379,750,750,360,35,50,65,0
 2019/04/09 10:28:29,3379,750,750,360,35,50,65,0
 2019/04/09 10:28:40,3379,750,750,360,35,50,65,0
 2019/04/09 10:28:50,3379,750,750,360,35,50,65,0
 2019/04/09 10:29:00,3379,750,750,360,35,50,65,0
 2019/04/09 10:29:10,3379,750,750,360,35,50,65,0
 2019/04/09 10:29:21,3379,750,750,360,35,50,65,0
 2019/04/09 10:29:31,3379,750,750,360,35,50,65,0
 2019/04/09 10:29:41,3379,750,750,360,35,50,65,0
