Date/Time,U1_AVE(V),I1_AVE(A),P_AVE(W),WP+(Wh),WP-(Wh),St,PF_AVE
43565.43663,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00
43565.43664,1.98E+02,3.52E+00,-5.69E+02,0.00E+00,-1.60E-01,0,-8.18E-01
43565.43666,1.98E+02,3.54E+00,-5.74E+02,0.00E+00,-3.20E-01,0,-8.19E-01
43565.43667,1.99E+02,3.46E+00,-5.62E+02,0.00E+00,-4.70E-01,0,-8.18E-01
43565.43668,1.98E+02,3.45E+00,-5.60E+02,0.00E+00,-6.30E-01,0,-8.17E-01
43565.43669,1.98E+02,3.53E+00,-5.73E+02,0.00E+00,-7.90E-01,0,-8.20E-01
43565.4367,1.98E+02,3.48E+00,-5.62E+02,0.00E+00,-9.40E-01,0,-8.16E-01
43565.43671,1.98E+02,3.47E+00,-5.61E+02,0.00E+00,-1.10E+00,0,-8.18E-01
43565.43672,1.98E+02,3.54E+00,-5.75E+02,0.00E+00,-1.26E+00,0,-8.20E-01
43565.43674,1.98E+02,3.43E+00,-5.55E+02,0.00E+00,-1.41E+00,0,-8.18E-01
43565.43675,1.98E+02,3.46E+00,-5.60E+02,0.00E+00,-1.57E+00,0,-8.19E-01
43565.43676,1.98E+02,3.45E+00,-5.57E+02,0.00E+00,-1.72E+00,0,-8.18E-01
43565.43677,1.98E+02,3.53E+00,-5.71E+02,0.00E+00,-1.88E+00,0,-8.19E-01
43565.43678,1.98E+02,3.56E+00,-5.76E+02,0.00E+00,-2.04E+00,0,-8.20E-01
43565.43679,1.98E+02,3.54E+00,-5.75E+02,0.00E+00,-2.20E+00,0,-8.20E-01
43565.43681,1.98E+02,3.48E+00,-5.63E+02,0.00E+00,-2.36E+00,0,-8.18E-01
43565.43682,1.98E+02,3.53E+00,-5.73E+02,0.00E+00,-2.52E+00,0,-8.19E-01
43565.43683,1.98E+02,3.52E+00,-5.70E+02,0.00E+00,-2.68E+00,0,-8.19E-01
43565.43684,1.98E+02,3.47E+00,-5.59E+02,0.00E+00,-2.83E+00,0,-8.16E-01
43565.43685,1.98E+02,3.54E+00,-5.74E+02,0.00E+00,-2.99E+00,0,-8.20E-01
43565.43686,1.98E+02,3.47E+00,-5.64E+02,0.00E+00,-3.15E+00,0,-8.18E-01
43565.43688,1.98E+02,3.53E+00,-5.73E+02,0.00E+00,-3.31E+00,0,-8.19E-01
43565.43689,1.98E+02,3.48E+00,-5.62E+02,0.00E+00,-3.46E+00,0,-8.17E-01
43565.4369,1.98E+02,3.46E+00,-5.60E+02,0.00E+00,-3.62E+00,0,-8.17E-01
43565.43691,1.98E+02,3.52E+00,-5.71E+02,0.00E+00,-3.78E+00,0,-8.19E-01
43565.43692,1.98E+02,3.43E+00,-5.55E+02,0.00E+00,-3.93E+00,0,-8.17E-01
43565.43693,1.98E+02,3.49E+00,-5.68E+02,0.00E+00,-4.09E+00,0,-8.20E-01
43565.43694,1.98E+02,3.53E+00,-5.73E+02,0.00E+00,-4.25E+00,0,-8.20E-01
43565.43696,1.98E+02,3.50E+00,-5.66E+02,0.00E+00,-4.41E+00,0,-8.17E-01
43565.43697,1.98E+02,3.50E+00,-5.66E+02,0.00E+00,-4.56E+00,0,-8.17E-01
43565.43698,1.98E+02,3.52E+00,-5.71E+02,0.00E+00,-4.72E+00,0,-8.19E-01
43565.43699,1.98E+02,3.53E+00,-5.73E+02,0.00E+00,-4.88E+00,0,-8.20E-01
43565.437,1.98E+02,3.51E+00,-5.70E+02,0.00E+00,-5.04E+00,0,-8.20E-01
43565.43701,1.98E+02,3.43E+00,-5.55E+02,0.00E+00,-5.19E+00,0,-8.17E-01
43565.43703,1.98E+02,3.43E+00,-5.55E+02,0.00E+00,-5.35E+00,0,-8.18E-01
43565.43704,1.98E+02,3.53E+00,-5.71E+02,0.00E+00,-5.51E+00,0,-8.19E-01
43565.43705,1.98E+02,3.44E+00,-5.55E+02,0.00E+00,-5.66E+00,0,-8.16E-01
43565.43706,1.98E+02,3.52E+00,-5.70E+02,0.00E+00,-5.82E+00,0,-8.18E-01
43565.43707,1.98E+02,3.50E+00,-5.66E+02,0.00E+00,-5.98E+00,0,-8.18E-01
43565.43708,1.98E+02,3.50E+00,-5.66E+02,0.00E+00,-6.13E+00,0,-8.18E-01
43565.43709,1.98E+02,3.53E+00,-5.72E+02,0.00E+00,-6.29E+00,0,-8.19E-01
43565.43711,1.98E+02,3.54E+00,-5.75E+02,0.00E+00,-6.45E+00,0,-8.21E-01
43565.43712,1.98E+02,3.51E+00,-5.72E+02,0.00E+00,-6.61E+00,0,-8.21E-01
43565.43713,1.98E+02,3.51E+00,-5.71E+02,0.00E+00,-6.77E+00,0,-8.21E-01
43565.43714,1.98E+02,3.48E+00,-5.64E+02,0.00E+00,-6.93E+00,0,-8.20E-01
43565.43715,1.98E+02,3.52E+00,-5.72E+02,0.00E+00,-7.08E+00,0,-8.20E-01
43565.43716,1.98E+02,3.43E+00,-5.54E+02,0.00E+00,-7.24E+00,0,-8.15E-01
43565.43718,1.98E+02,3.48E+00,-5.62E+02,0.00E+00,-7.39E+00,0,-8.16E-01
43565.43719,1.98E+02,3.47E+00,-5.61E+02,0.00E+00,-7.55E+00,0,-8.16E-01
43565.4372,1.98E+02,3.51E+00,-5.67E+02,0.00E+00,-7.71E+00,0,-8.18E-01
43565.43721,1.98E+02,3.45E+00,-5.56E+02,0.00E+00,-7.86E+00,0,-8.16E-01
43565.43722,1.98E+02,3.52E+00,-5.70E+02,0.00E+00,-8.02E+00,0,-8.18E-01
43565.43723,1.98E+02,3.53E+00,-5.71E+02,0.00E+00,-8.18E+00,0,-8.18E-01
43565.43725,1.98E+02,3.49E+00,-5.66E+02,0.00E+00,-8.34E+00,0,-8.19E-01
