Date/Time,CompOutput(0-5V),SAFanOutput(4-20mA),EAFanOutput(4-20mA),PumpOutput(1-5V),PDVOutput(4-20mA),WatCoilValveOutput(4-20mA),MixingValveOutput(4-20mA),NaN
 2019/04/10 10:12:53,3379,833,833,360,35,50,68,0
 2019/04/10 10:13:03,3379,833,833,360,35,50,68,0
 2019/04/10 10:13:14,3379,833,833,360,35,50,68,0
 2019/04/10 10:13:24,3379,833,833,360,35,50,68,0
 2019/04/10 10:13:34,3379,833,833,360,35,50,68,0
 2019/04/10 10:13:44,3379,833,833,360,35,50,68,0
 2019/04/10 10:13:55,3379,833,833,360,35,50,68,0
 2019/04/10 10:14:05,3379,833,833,360,35,50,68,0
 2019/04/10 10:14:15,3379,833,833,360,35,50,68,0
 2019/04/10 10:14:25,3379,833,833,360,35,50,68,0
 2019/04/10 10:14:36,3379,833,833,360,35,50,68,0
 2019/04/10 10:14:46,3379,833,833,360,35,50,68,0
 2019/04/10 10:14:56,3379,833,833,360,35,50,68,0
 2019/04/10 10:15:06,3350,833,833,360,35,50,68,0
 2019/04/10 10:15:17,3350,833,833,360,35,50,68,0
 2019/04/10 10:15:27,3350,833,833,360,35,50,68,0
 2019/04/10 10:15:37,3350,833,833,360,35,50,68,0
 2019/04/10 10:15:47,3350,833,833,360,35,50,68,0
 2019/04/10 10:15:57,3350,833,833,360,35,50,68,0
 2019/04/10 10:16:08,3350,833,833,360,35,50,68,0
 2019/04/10 10:16:18,3350,833,833,360,35,50,68,0
 2019/04/10 10:16:28,3379,833,833,360,35,50,68,0
 2019/04/10 10:16:38,3379,833,833,360,35,50,68,0
 2019/04/10 10:16:49,3379,833,833,360,35,50,68,0
 2019/04/10 10:16:59,3379,833,833,360,35,50,68,0
 2019/04/10 10:17:09,3379,833,833,360,35,50,68,0
 2019/04/10 10:17:19,3379,833,833,360,35,50,68,0
 2019/04/10 10:17:30,3379,833,833,360,35,50,68,0
 2019/04/10 10:17:40,3379,833,833,360,35,50,68,0
 2019/04/10 10:17:50,3379,833,833,360,35,50,68,0
 2019/04/10 10:18:00,3379,833,833,360,35,50,68,0
 2019/04/10 10:18:10,3379,833,833,360,35,50,68,0
 2019/04/10 10:18:21,3379,833,833,360,35,50,68,0
 2019/04/10 10:18:31,3379,833,833,360,35,50,68,0
 2019/04/10 10:18:41,3379,833,833,360,35,50,68,0
 2019/04/10 10:18:51,3379,833,833,360,35,50,68,0
 2019/04/10 10:19:02,3379,833,833,360,35,50,68,0
 2019/04/10 10:19:12,3379,833,833,360,35,50,68,0
 2019/04/10 10:19:22,3379,833,833,360,35,50,68,0
 2019/04/10 10:19:32,3379,833,833,360,35,50,68,0
 2019/04/10 10:19:43,3379,833,833,360,35,50,68,0
 2019/04/10 10:19:53,3379,833,833,360,35,50,68,0
 2019/04/10 10:20:03,3379,833,833,360,35,50,68,0
 2019/04/10 10:20:13,3379,833,833,360,35,50,68,0
 2019/04/10 10:20:24,3379,833,833,360,35,50,68,0
 2019/04/10 10:20:34,3379,833,833,360,35,50,68,0
 2019/04/10 10:20:44,3379,833,833,360,35,50,68,0
 2019/04/10 10:20:54,3379,833,833,360,35,50,68,0
 2019/04/10 10:21:05,3379,833,833,360,35,50,68,0
 2019/04/10 10:21:15,3379,833,833,360,35,50,68,0
 2019/04/10 10:21:25,3379,833,833,360,35,50,68,0
 2019/04/10 10:21:35,3379,833,833,360,35,50,68,0
 2019/04/10 10:21:45,3379,833,833,360,35,50,68,0
 2019/04/10 10:21:56,3379,833,833,360,35,50,68,0
 2019/04/10 10:22:06,3379,833,833,360,35,50,68,0
 2019/04/10 10:22:16,3379,833,833,360,35,50,68,0
 2019/04/10 10:22:26,3379,833,833,360,35,50,68,0
 2019/04/10 10:22:37,3379,833,833,360,35,50,68,0
 2019/04/10 10:22:47,3379,833,833,360,35,50,68,0
 2019/04/10 10:22:57,3379,833,833,360,35,50,68,0
 2019/04/10 10:23:07,3379,833,833,360,35,50,68,0
 2019/04/10 10:23:18,3379,833,833,360,35,50,68,0
 2019/04/10 10:23:28,3379,833,833,360,35,50,68,0
 2019/04/10 10:23:38,3379,833,833,360,35,50,68,0
 2019/04/10 10:23:48,3379,833,833,360,35,50,68,0
 2019/04/10 10:23:59,3379,833,833,360,35,50,68,0
 2019/04/10 10:24:09,3379,833,833,360,35,50,68,0
 2019/04/10 10:24:19,3379,833,833,360,35,50,68,0
 2019/04/10 10:24:29,3379,833,833,360,35,50,68,0
 2019/04/10 10:24:39,3379,833,833,360,35,50,68,0
 2019/04/10 10:24:50,3379,833,833,360,35,50,68,0
 2019/04/10 10:25:00,3379,833,833,360,35,50,68,0
 2019/04/10 10:25:10,3379,833,833,360,35,50,68,0
 2019/04/10 10:25:20,3379,833,833,360,35,50,68,0
