Date/Time,CompOutput(0-5V),SAFanOutput(4-20mA),EAFanOutput(4-20mA),PumpOutput(1-5V),PDVOutput(4-20mA),WatCoilValveOutput(4-20mA),MixingValveOutput(4-20mA),NaN
 2019/04/11 17:00:35,2453,500,500,360,35,50,68,0
 2019/04/11 17:00:46,2598,500,500,360,35,50,68,0
 2019/04/11 17:00:56,2713,833,833,360,29,50,68,0
 2019/04/11 17:01:06,2713,833,833,360,28,50,68,0
 2019/04/11 17:01:17,2974,833,833,360,28,50,68,0
 2019/04/11 17:01:27,3234,833,833,360,26,50,68,0
 2019/04/11 17:01:37,3379,833,833,360,35,50,68,0
 2019/04/11 17:01:47,3379,833,833,360,35,50,68,0
 2019/04/11 17:01:58,3379,0,0,360,35,75,68,0
 2019/04/11 17:02:08,0,833,833,360,35,75,68,0
 2019/04/11 17:02:18,0,833,833,360,35,75,68,0
 2019/04/11 17:02:28,0,833,833,360,35,75,68,0
 2019/04/11 17:02:39,0,833,833,360,35,75,68,0
 2019/04/11 17:02:49,0,833,833,360,35,75,68,0
 2019/04/11 17:02:59,0,833,833,360,35,75,68,0
 2019/04/11 17:03:09,0,833,833,360,35,75,68,0
 2019/04/11 17:03:19,0,833,833,360,35,75,68,0
 2019/04/11 17:03:30,0,833,833,360,35,75,68,0
 2019/04/11 17:03:40,0,833,833,360,35,75,68,0
 2019/04/11 17:03:50,0,833,833,360,35,75,68,0
 2019/04/11 17:04:00,0,833,833,360,35,75,68,0
 2019/04/11 17:04:11,0,833,833,360,35,75,68,0
 2019/04/11 17:04:21,0,833,833,360,35,75,68,0
 2019/04/11 17:04:31,0,833,833,360,35,75,68,0
 2019/04/11 17:04:41,0,833,833,360,35,75,68,0
 2019/04/11 17:04:52,0,833,833,360,35,75,68,0
 2019/04/11 17:05:02,0,833,833,360,35,75,68,0
 2019/04/11 17:05:12,0,833,833,360,35,75,68,0
 2019/04/11 17:05:22,0,833,833,360,35,75,68,0
 2019/04/11 17:05:33,0,833,833,360,35,75,68,0
