Date/Time,U1_AVE(V),I1_AVE(A),P_AVE(W),WP+(Wh),WP-(Wh),St,PF_AVE
43566.43639,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0,0.00E+00
43566.4364,2.01E+02,2.15E+00,-3.55E+02,0.00E+00,-1.00E-01,0,8.22E-01
43566.43641,2.01E+02,2.14E+00,-3.53E+02,0.00E+00,-2.00E-01,0,8.21E-01
43566.43642,2.01E+02,2.15E+00,-3.54E+02,0.00E+00,-2.90E-01,0,8.21E-01
43566.43644,2.01E+02,2.17E+00,-3.57E+02,0.00E+00,-3.90E-01,0,8.20E-01
43566.43645,2.01E+02,2.15E+00,-3.54E+02,0.00E+00,-4.90E-01,0,8.20E-01
43566.43646,2.01E+02,2.16E+00,-3.56E+02,0.00E+00,-5.90E-01,0,8.20E-01
43566.43647,2.01E+02,2.16E+00,-3.55E+02,0.00E+00,-6.90E-01,0,8.19E-01
43566.43648,2.00E+02,2.16E+00,-3.55E+02,0.00E+00,-7.90E-01,0,8.19E-01
43566.43649,2.00E+02,2.17E+00,-3.56E+02,0.00E+00,-8.90E-01,0,8.17E-01
43566.4365,2.00E+02,2.16E+00,-3.53E+02,0.00E+00,-9.80E-01,0,8.18E-01
43566.43652,2.00E+02,2.17E+00,-3.55E+02,0.00E+00,-1.08E+00,0,8.17E-01
43566.43653,2.01E+02,2.17E+00,-3.56E+02,0.00E+00,-1.18E+00,0,8.18E-01
43566.43654,2.01E+02,2.18E+00,-3.60E+02,0.00E+00,-1.28E+00,0,8.21E-01
43566.43655,2.01E+02,2.16E+00,-3.54E+02,0.00E+00,-1.38E+00,0,8.19E-01
43566.43656,2.00E+02,2.17E+00,-3.56E+02,0.00E+00,-1.48E+00,0,8.18E-01
43566.43657,2.00E+02,2.15E+00,-3.54E+02,0.00E+00,-1.58E+00,0,8.20E-01
43566.43659,2.01E+02,2.17E+00,-3.57E+02,0.00E+00,-1.68E+00,0,8.19E-01
43566.4366,2.01E+02,2.15E+00,-3.55E+02,0.00E+00,-1.78E+00,0,8.21E-01
43566.43661,2.01E+02,2.15E+00,-3.55E+02,0.00E+00,-1.87E+00,0,8.21E-01
43566.43662,2.00E+02,2.16E+00,-3.55E+02,0.00E+00,-1.97E+00,0,8.20E-01
43566.43663,2.00E+02,2.19E+00,-3.61E+02,0.00E+00,-2.07E+00,0,8.22E-01
43566.43664,2.01E+02,2.16E+00,-3.56E+02,0.00E+00,-2.17E+00,0,8.20E-01
43566.43666,2.00E+02,2.16E+00,-3.55E+02,0.00E+00,-2.27E+00,0,8.21E-01
43566.43667,2.00E+02,2.17E+00,-3.57E+02,0.00E+00,-2.37E+00,0,8.20E-01
43566.43668,2.00E+02,2.17E+00,-3.57E+02,0.00E+00,-2.47E+00,0,8.19E-01
43566.43669,2.00E+02,2.17E+00,-3.57E+02,0.00E+00,-2.57E+00,0,8.20E-01
43566.4367,2.00E+02,2.18E+00,-3.57E+02,0.00E+00,-2.67E+00,0,8.18E-01
43566.43671,2.00E+02,2.17E+00,-3.57E+02,0.00E+00,-2.77E+00,0,8.20E-01
43566.43672,2.00E+02,2.17E+00,-3.57E+02,0.00E+00,-2.87E+00,0,8.21E-01
43566.43674,2.00E+02,2.18E+00,-3.58E+02,0.00E+00,-2.96E+00,0,8.20E-01
43566.43675,2.00E+02,2.18E+00,-3.58E+02,0.00E+00,-3.06E+00,0,8.21E-01
43566.43676,2.00E+02,2.19E+00,-3.58E+02,0.00E+00,-3.16E+00,0,8.20E-01
43566.43677,2.00E+02,2.19E+00,-3.59E+02,0.00E+00,-3.26E+00,0,8.21E-01
43566.43678,2.00E+02,2.18E+00,-3.58E+02,0.00E+00,-3.36E+00,0,8.20E-01
43566.43679,2.00E+02,2.18E+00,-3.58E+02,0.00E+00,-3.46E+00,0,8.20E-01
43566.43681,2.00E+02,2.22E+00,-3.65E+02,0.00E+00,-3.56E+00,0,8.23E-01
43566.43682,2.00E+02,2.18E+00,-3.58E+02,0.00E+00,-3.66E+00,0,8.19E-01
43566.43683,2.00E+02,2.19E+00,-3.58E+02,0.00E+00,-3.76E+00,0,8.19E-01
43566.43684,2.01E+02,2.18E+00,-3.59E+02,0.00E+00,-3.86E+00,0,8.20E-01
43566.43685,2.01E+02,2.18E+00,-3.59E+02,0.00E+00,-3.96E+00,0,8.21E-01
43566.43686,2.00E+02,2.20E+00,-3.63E+02,0.00E+00,-4.06E+00,0,8.24E-01
43566.43688,2.01E+02,2.18E+00,-3.59E+02,0.00E+00,-4.16E+00,0,8.22E-01
43566.43689,2.00E+02,2.19E+00,-3.60E+02,0.00E+00,-4.26E+00,0,8.21E-01
43566.4369,2.00E+02,2.18E+00,-3.58E+02,0.00E+00,-4.36E+00,0,8.20E-01
43566.43691,2.00E+02,2.19E+00,-3.60E+02,0.00E+00,-4.46E+00,0,8.21E-01
43566.43692,2.00E+02,2.18E+00,-3.59E+02,0.00E+00,-4.56E+00,0,8.21E-01
43566.43693,2.00E+02,2.19E+00,-3.59E+02,0.00E+00,-4.66E+00,0,8.20E-01
43566.43694,2.00E+02,2.19E+00,-3.59E+02,0.00E+00,-4.76E+00,0,8.21E-01
43566.43696,2.00E+02,2.18E+00,-3.59E+02,0.00E+00,-4.86E+00,0,8.20E-01
43566.43697,2.00E+02,2.18E+00,-3.59E+02,0.00E+00,-4.96E+00,0,8.21E-01
43566.43698,2.00E+02,2.22E+00,-3.66E+02,0.00E+00,-5.06E+00,0,8.23E-01
43566.43699,2.00E+02,2.18E+00,-3.59E+02,0.00E+00,-5.16E+00,0,8.21E-01
43566.437,2.00E+02,2.19E+00,-3.58E+02,0.00E+00,-5.26E+00,0,8.19E-01
43566.43701,2.00E+02,2.15E+00,-3.50E+02,0.00E+00,-5.36E+00,0,8.18E-01
43566.43703,2.00E+02,2.12E+00,-3.45E+02,0.00E+00,-5.45E+00,0,8.16E-01
43566.43704,1.99E+02,2.10E+00,-3.41E+02,0.00E+00,-5.55E+00,0,8.15E-01
43566.43705,2.00E+02,2.10E+00,-3.43E+02,0.00E+00,-5.64E+00,0,8.17E-01
43566.43706,2.00E+02,2.09E+00,-3.42E+02,0.00E+00,-5.74E+00,0,8.17E-01
43566.43707,2.00E+02,2.09E+00,-3.41E+02,0.00E+00,-5.83E+00,0,8.17E-01
43566.43708,2.00E+02,2.09E+00,-3.41E+02,0.00E+00,-5.93E+00,0,8.18E-01
43566.43709,2.00E+02,2.08E+00,-3.41E+02,0.00E+00,-6.02E+00,0,8.18E-01
43566.43711,2.00E+02,2.08E+00,-3.41E+02,0.00E+00,-6.12E+00,0,8.19E-01
43566.43712,2.00E+02,2.08E+00,-3.41E+02,0.00E+00,-6.21E+00,0,8.19E-01
43566.43713,2.00E+02,2.05E+00,-3.36E+02,0.00E+00,-6.31E+00,0,8.18E-01
43566.43714,2.00E+02,2.00E+00,-3.28E+02,0.00E+00,-6.40E+00,0,8.16E-01
43566.43715,2.01E+02,2.01E+00,-3.29E+02,0.00E+00,-6.49E+00,0,8.17E-01
43566.43716,2.00E+02,1.95E+00,-3.18E+02,0.00E+00,-6.58E+00,0,8.14E-01
43566.43718,2.01E+02,1.95E+00,-3.19E+02,0.00E+00,-6.66E+00,0,8.13E-01
43566.43719,2.01E+02,1.97E+00,-3.22E+02,0.00E+00,-6.75E+00,0,8.16E-01
43566.4372,2.00E+02,1.96E+00,-3.21E+02,0.00E+00,-6.84E+00,0,8.16E-01
43566.43721,2.00E+02,1.95E+00,-3.18E+02,0.00E+00,-6.93E+00,0,8.14E-01
43566.43722,2.00E+02,1.95E+00,-3.17E+02,0.00E+00,-7.02E+00,0,8.12E-01
43566.43723,2.00E+02,1.95E+00,-3.17E+02,0.00E+00,-7.11E+00,0,8.12E-01
43566.43725,2.00E+02,1.96E+00,-3.18E+02,0.00E+00,-7.20E+00,0,8.13E-01
43566.43726,2.00E+02,1.94E+00,-3.16E+02,0.00E+00,-7.28E+00,0,8.13E-01
43566.43727,2.00E+02,1.95E+00,-3.17E+02,0.00E+00,-7.37E+00,0,8.12E-01
43566.43728,2.00E+02,1.95E+00,-3.16E+02,0.00E+00,-7.46E+00,0,8.13E-01
43566.43729,2.00E+02,1.95E+00,-3.18E+02,0.00E+00,-7.55E+00,0,8.13E-01
43566.4373,2.00E+02,1.95E+00,-3.18E+02,0.00E+00,-7.64E+00,0,8.14E-01
43566.43731,2.01E+02,1.94E+00,-3.17E+02,0.00E+00,-7.72E+00,0,8.14E-01
43566.43733,2.01E+02,1.96E+00,-3.20E+02,0.00E+00,-7.81E+00,0,8.15E-01
43566.43734,2.01E+02,1.95E+00,-3.20E+02,0.00E+00,-7.90E+00,0,8.16E-01
43566.43735,2.00E+02,1.95E+00,-3.17E+02,0.00E+00,-7.99E+00,0,8.12E-01
