Date/Time,CompOutput(0-5V),SAFanOutput(4-20mA),EAFanOutput(4-20mA),PumpOutput(1-5V),PDVOutput(4-20mA),WatCoilValveOutput(4-20mA),MixingValveOutput(4-20mA),NaN
 2019/04/15 10:58:30,1469,333,333,360,20,50,70,0
 2019/04/15 10:58:40,1758,333,333,360,20,50,70,0
 2019/04/15 10:58:50,1700,333,333,360,20,50,70,0
 2019/04/15 10:59:00,1469,333,333,360,20,50,70,0
 2019/04/15 10:59:11,1585,333,333,360,20,50,70,0
 2019/04/15 10:59:21,1614,333,333,360,20,50,70,0
 2019/04/15 10:59:31,1816,333,333,360,20,50,70,0
 2019/04/15 10:59:42,1527,333,333,360,20,50,70,0
 2019/04/15 10:59:52,1614,333,333,360,20,50,70,0
 2019/04/15 11:00:02,1614,333,333,360,20,50,70,0
 2019/04/15 11:00:12,1816,333,333,360,20,50,70,0
 2019/04/15 11:00:23,1527,333,333,360,20,50,70,0
 2019/04/15 11:00:33,1614,333,333,360,20,50,70,0
 2019/04/15 11:00:43,1614,333,333,360,20,50,70,0
 2019/04/15 11:00:53,1614,333,333,360,20,50,70,0
 2019/04/15 11:01:04,1382,333,333,360,20,50,70,0
 2019/04/15 11:01:14,1671,333,333,360,20,50,70,0
 2019/04/15 11:01:24,1614,333,333,360,35,50,70,0
 2019/04/15 11:01:34,1614,333,333,360,50,50,70,0
 2019/04/15 11:01:45,1816,333,333,360,50,50,65,0
 2019/04/15 11:01:55,1729,333,333,360,44,50,65,0
 2019/04/15 11:02:05,1700,333,333,360,41,50,65,0
 2019/04/15 11:02:15,1932,333,333,360,38,50,65,0
 2019/04/15 11:02:26,1845,333,333,360,38,50,65,0
 2019/04/15 11:02:36,1845,333,333,360,35,50,65,0
 2019/04/15 11:02:46,1845,333,333,360,35,50,65,0
 2019/04/15 11:02:56,1874,333,333,360,35,50,65,0
 2019/04/15 11:03:07,1643,333,333,360,35,50,65,0
 2019/04/15 11:03:17,1556,333,333,360,35,50,65,0
 2019/04/15 11:03:27,1845,333,333,360,35,50,65,0
 2019/04/15 11:03:37,1787,333,333,360,35,50,65,0
 2019/04/15 11:03:48,1585,333,333,360,28,50,65,0
 2019/04/15 11:03:58,1700,333,333,360,28,50,65,0
 2019/04/15 11:04:08,1700,333,333,360,25,50,65,0
 2019/04/15 11:04:18,1382,333,333,360,22,50,65,0
 2019/04/15 11:04:29,1498,333,333,360,22,50,65,0
 2019/04/15 11:04:39,1469,333,333,360,20,50,65,0
 2019/04/15 11:04:49,1469,333,333,360,20,50,65,0
 2019/04/15 11:04:59,1469,333,333,360,20,50,65,0
 2019/04/15 11:05:10,1440,333,333,360,35,50,65,0
 2019/04/15 11:05:20,1440,333,333,360,35,50,65,0
 2019/04/15 11:05:30,1643,333,333,360,35,50,65,0
 2019/04/15 11:05:40,1729,333,333,360,35,50,65,0
 2019/04/15 11:05:51,1614,333,333,360,29,50,65,0
 2019/04/15 11:06:01,1614,333,333,360,26,50,65,0
 2019/04/15 11:06:11,1614,333,333,360,26,50,65,0
 2019/04/15 11:06:21,1614,333,333,360,23,50,65,0
 2019/04/15 11:06:32,1382,333,333,360,20,50,65,0
