Date/Time,(A)OAT1emp,(A)OA2Temp,(A)PreCoilTemp,(A)CoilTemp,(A)SaTemp,(A)RATemp,(A)EATemp,(O)DBUnitTemp,(F)PreCoilInTemp,(F)PreCoilOutTemp,(F)CoilInTemp,(F)CoilOutTemp,(F)CompInTemp,(F)CompOutTemp,(F)WatHxInTemp,(F)WatHxOutTemp,(W)WatHxInTemp,(W)WatHxOutTemp,(O)CompCaseTemp,NaN,(W)PanelInTemp,NaN.1,(I)IndoorATemp,(I)IndoorBTemp,(A)OA1Hum,(A)OA2Hum,(A)PreCoilHum,(A)CoilHum,(A)SAHum,(A)RAHum,(A)EAHum,(O)DBUnitHum,(I)IndoorAHum,(I)IndoorBHum,(Flow rate 1),(Flow rate 2),(F)CompLowP,(F)CompHiP,NaN.2,NaN.3,Ahum0,Enthalpy0,DewPoint0,SpecificVolume0,THCapa0,SHCapa0,LHCapa0,WaterMass0,Ahum1,Enthalpy1,DewPoint1,SpecificVolume1,THCapa1,SHCapa1,LHCapa1,WaterMass1,Ahum2,Enthalpy2,DewPoint2,SpecificVolume2,THCapa2,SHCapa2,LHCapa2,WaterMass2,Ahum3,Enthalpy3,DewPoint3,SpecificVolume3,THCapa3,SHCapa3,LHCapa3,WaterMass3,Ahum4,Enthalpy4,DewPoint4,SpecificVolume4,THCapa4,SHCapa4,LHCapa4,WaterMass4,Ahum5,Enthalpy5,DewPoint5,SpecificVolume5,THCapa5,SHCapa5,LHCapa5,WaterMass5,Ahum6,Enthalpy6,DewPoint6,SpecificVolume6,THCapa6,SHCapa6,LHCapa6,WaterMass6,PreCoil_TH(kW),PreCoil_SH(kW),PreCoil_LH(kW),PreCoil_W(L/hr),Coil_TH(kW),Coil_SH(kW),Coil_LH(kW),Coil_W(kg/h),TCoil_TH(kW),TCoil_SH(kW),TCoil_LH(kW),TCoil_W(kg/h),ReHeat_TH(kW),ReHeat_SH(kW),ReHeat_LH(kW),SHE(%),THE(%),OATemp,hxTemp,preTemp,evaTemp,condTemp,diffTemp
2019-04-11 17:00:35,361,283,197,84,203,268,327,313,203,185,84,162,183,409,227,220,184,201,403,0,183,0,258,270,612,634,998,915,463,409,467,624,380,399,0,0,55,28,0,0,0.023307960704788643,96.12856809618077,27.434278695671765,0.9089409277572975,6.756816882807128,2.659423658213311,4.097393224593818,5.897887088579666,0.015350981015424809,67.64675465631686,20.686445190154814,0.8750897670115246,4.938780174165192,2.135783669507263,2.802996504657929,4.03470108627291,0.014391799529070604,56.323841425760044,19.667759009889892,0.8488450661886262,4.239251413456583,1.5301472786274548,2.7091041348291283,3.899550134100304,0.006255045856637765,24.18910869272939,7.0979817529103,0.8056563954331567,1.9182064293800591,0.6776410246749207,1.2405654047051384,1.7856999028142735,0.00684742202068505,37.79810228770424,8.410462708974592,0.8405000846949701,2.8731451682677562,1.5713928475420258,1.3017523207257304,1.8737738323121271,0.008980842935969052,49.856327479043166,12.420682818890441,0.862032178952461,3.6950655027604333,2.0303782645392183,1.664687238221215,2.3961911465799175,0.014524014410465086,70.07801820512927,19.81174819185418,0.8867106161711485,5.049230985858489,2.431989534085889,2.6172414517725997,3.767320762247644,0.6995287607086089,0.6056363908798081,0.09389236982880078,0.13515095217260598,2.321044984076524,0.8525062539525341,1.4685387301239898,2.1138502312860306,3.020573744785133,1.4581426448323422,1.5624310999527906,2.2490011834586365,0.9549387388876971,0.8937518228671051,0.06118691602059201,83.24359322426658,59.378978988627395,36.1,28.3,19.7,8.4,20.3,11.9
2019-04-11 17:00:46,361,283,196,86,207,267,327,308,203,185,85,125,179,409,232,223,184,203,404,0,183,0,259,268,603,638,998,921,467,395,467,622,361,412,0,0,53,28,0,0,0.022952547761671778,95.21652144036554,27.18136524515222,0.9084402901436904,6.69639801833075,2.6592605347549463,4.037137483575803,5.81115351494318,0.015450238464535141,67.90006775592853,20.78855878112006,0.8752260554218065,4.956502217379555,2.135821200522038,2.8206810168575167,4.06015660163417,0.014300638433778528,55.98942470939032,19.56778395339302,0.8484336506268662,4.216124774834311,1.5228753969351017,2.6932493778992095,3.876728412809737,0.00638334108955903,24.71542466872036,7.391385057505545,0.8063933436295925,1.9581523495646473,0.6932990907251108,1.2648532588395365,1.8206604285575096,0.007081805608369215,38.800396870379714,8.901883465250194,0.8419594791591035,2.9442203643484914,1.6002433609227222,1.3439770034257692,1.9345530637076245,0.008617594112625991,48.828114897544445,11.802800938068799,0.8612486646384134,3.6221525041816336,2.0233438128861634,1.5988086912954702,2.301363969877527,0.014524014410465086,70.07801820512927,19.81174819185418,0.8867106161711485,5.049230985858489,2.431989534085889,2.6172414517725997,3.767320762247644,0.7403774425452436,0.6129458035869364,0.12743163895830723,0.18342818882443312,2.2579724252696636,0.8295763062099909,1.428396119059673,2.0560679842522274,2.998349867814907,1.4425221097969274,1.5558277580179802,2.2394961730766605,0.9860680147838441,0.9069442701976115,0.07912374458623272,82.31256015640935,56.595863698698764,36.1,28.3,19.6,8.6,20.7,12.1
2019-04-11 17:00:56,360,283,196,86,212,267,327,305,203,189,85,88,172,411,241,225,193,209,407,0,195,0,258,268,605,631,998,923,462,398,460,627,389,410,0,0,55,28,0,0,0.022900804873120118,94.97900728832876,27.14424755161309,0.9080736722962581,6.682390899051736,2.652728258643827,4.029662640407909,5.800394044569561,0.015276558212057346,67.45682159666462,20.60948948923692,0.8749875785546323,4.92548864168569,2.1357555212460353,2.7897331204396547,4.015609449653242,0.014300638433778528,55.98942470939032,19.56778395339302,0.8484336506268662,4.216124774834311,1.5228753969351017,2.6932493778992095,3.876728412809737,0.006397345425363236,24.75066690187137,7.423092347416514,0.8064113160665354,1.9609008158921848,0.6933008621374331,1.2675999537547518,1.8246140877717334,0.007226390748756113,39.676928331030936,9.197824465992198,0.8435859650531693,3.0049277377841075,1.6361557063050485,1.368772031479059,1.9702436278786943,0.008683957995197795,48.997289275631246,11.917404371599275,0.8613393039017546,3.6343196649767737,2.023368126112404,1.6109515388643696,2.318842678893135,0.014301303971969782,69.50787424888598,19.56851591718697,0.8864003534581871,5.009904201261599,2.4318933322635283,2.5780108689980707,3.7108513108328895,0.7093638668513789,0.6128801243109336,0.09648374254044523,0.13888103684350517,2.2552239589421266,0.8295745347976685,1.4256494241444577,2.0521143250380036,2.9645878257935054,1.442454659108602,1.522133166684903,2.190995361881509,1.0440269218919227,0.9428548441676153,0.10117207772430725,82.1425938307238,57.63980309007562,36.0,28.3,19.6,8.6,21.2,12.6
2019-04-11 17:01:06,359,288,199,87,199,266,323,313,204,197,86,87,162,410,245,225,198,216,404,0,201,0,258,268,595,678,998,926,458,408,422,628,389,393,0,0,56,28,0,0,0.022380867586031344,93.54021886180543,26.766969872950995,0.9070480255978682,6.588604440834452,2.645977706701495,3.942626734132957,5.6751124521705885,0.01694184137212529,72.22504995357392,22.255784906076883,0.8787292360604262,5.251194568381271,2.1705289471374165,3.0806656212438543,4.434384740694874,0.014575693847638606,56.99676194810441,19.86770908845847,0.8496702449566081,4.285732980227945,1.5446773171815595,2.741055663046386,3.945541938011592,0.006462427618084719,25.016214204930478,7.569636160172365,0.8067810840120523,1.9810307423315483,0.7011219815860221,1.2799087607455262,1.8423316828004375,0.006605291399495617,36.77649255456272,7.886748289259344,0.8390312034246759,2.800383629299007,1.5424639939229852,1.257919635376022,1.8106800029402959,0.008852256603871447,49.32411716260417,12.204560494583575,0.86128183141551,3.658805893728281,2.016523883708862,1.6422820100194189,2.363940518220675,0.012797203572120787,65.24570229793409,17.830379845692278,0.883148437649843,4.720016756959922,2.404646763974504,2.3153699929854175,3.33279967003099,0.9654615881533255,0.625851629955857,0.3396099581974683,0.48884280268328206,2.304702237896397,0.8435553355955374,1.4611469023008599,2.1032102552111542,3.2701638260497226,1.4694069655513944,1.8007568604983282,2.5920530578944367,0.8193528869674589,0.841342012336963,-0.021989125369504148,75.53354069781271,45.6485267143767,35.9,28.8,19.9,8.7,19.9,11.2
2019-04-11 17:01:17,356,293,206,89,199,265,322,309,212,202,90,97,150,429,250,217,206,221,402,0,205,0,258,277,593,684,998,939,471,395,416,619,356,383,0,0,58,28,0,0,0.021925091383759247,92.05711607291948,26.4296265383569,0.9055265668006942,6.495035127455072,2.62620872698382,3.868826400471252,5.568882463693125,0.017611484726757422,74.45353308862197,22.876837873165186,0.8811068507121659,5.3986114159020255,2.204820954385595,3.1937904615164303,4.5972193768329275,0.015236120836609,59.395662893426746,20.567534001718286,0.8525834834943647,4.450852005163344,1.5953891161537044,2.8554628890096394,4.110222471185406,0.006644345075125253,25.677645114347605,7.972367795342848,0.8075872856919317,2.031379449260768,0.7167549136294312,1.3146245356313369,1.892302410344987,0.0067948260338464225,37.25732666437265,8.298124272736459,0.8392841977822025,2.836142048006063,1.542517277643589,1.293624770362474,1.8620748393862079,0.008515306102745538,48.36308894212617,11.624603593557367,0.8605346006672924,3.59063309406844,2.00949080644475,1.58114228762369,2.2759345203699652,0.012539146503161827,64.482393138318,17.513845618892447,0.8825003902191969,4.668222808921807,2.397876553443027,2.27034625547878,3.2679914113249136,0.9477594107386818,0.6094318382318908,0.3383275725067909,0.48699690564752185,2.419472555902576,0.8786342025242732,1.5408383533783025,2.2179200608404184,3.3672319666412576,1.488066040756164,1.8791659258850935,2.70491696648794,0.8047625987452949,0.8257623640141577,-0.020999765268862935,68.32747331711909,37.75041123609802,35.6,29.3,20.6,8.9,19.9,10.999999999999998
2019-04-11 17:01:27,357,293,213,93,205,265,319,310,216,207,93,132,160,414,262,228,206,218,405,0,210,0,263,273,597,682,998,956,486,385,415,614,352,355,0,0,61,28,0,0,0.022204440120236847,92.87832555540024,26.63713516226352,0.9062128387358717,6.548012528571702,2.63286038709307,3.915152141478632,5.6355648577861155,0.017558535434142895,74.31830660502918,22.82851513401829,0.8810339059220331,5.389252333177821,2.204800435277062,3.184451897900759,4.583777222088259,0.01592341253589384,61.86445423233174,21.26735835162384,0.8555369643273621,4.619848595003349,1.6458798819988831,2.973968713004466,4.28080262567616,0.006953155390191664,26.862360773826808,8.633981188873861,0.8091298922403256,2.1210517609483213,0.7479500248676144,1.3731017360807067,1.9764759095923807,0.007281922919007657,39.10453857324873,9.310083667111826,0.8416540924557226,2.968375657353546,1.5859191885158854,1.3824564688376604,1.9899413385907945,0.008296853055769583,47.806288716269826,11.237527016096578,0.8602364382391745,3.5505246374307973,2.0094112582354313,1.541113379195366,2.2183159396654615,0.012293901010900688,63.546323101519775,17.207552371174188,0.8812925888866187,4.606760600426144,2.377768030094312,2.228992570331832,3.208465914911873,0.7694037381744723,0.5589205532781789,0.21048318489629336,0.3029745964120991,2.4987968340550277,0.8979298571312687,1.6008669769237591,2.3043267160837795,3.2682005722295,1.4568504104094475,1.8113501618200525,2.6073013124958786,0.8473238964052245,0.837969163648271,0.009354732756953643,68.65996470319124,38.657710638918815,35.7,29.3,21.3,9.3,20.5,11.2
2019-04-11 17:01:37,357,294,218,96,214,266,320,301,220,211,94,161,170,416,275,229,212,232,394,0,212,0,251,280,589,677,998,968,500,388,414,614,357,356,0,0,72,29,0,0,0.021896418229516754,92.08811433810412,26.40819130943362,0.9057795177566867,6.4954077560791665,2.6327199302138364,3.86268782586533,5.560046450665808,0.017529852002621176,74.34881651477866,22.80228291032165,0.8812856765890298,5.389924519955837,2.211582973893964,3.178341546061873,4.574981833595659,0.016431332631958707,63.67211942026367,21.767232541880503,0.8576721124478095,4.743002487688825,1.681810799713142,3.061191687975683,4.406353489289268,0.0071866941073071,27.756052997866476,9.117103290311888,0.8102900725354427,2.1884797137228125,0.7712910524344679,1.4171886612883444,2.039935697976026,0.007926085944874187,41.657701869923,10.559185601461195,0.8450978974441476,3.149297015390889,1.6506795732056363,1.4986174421852525,2.1571462582434653,0.008412453375973997,48.203053017251605,11.443480038710504,0.8606813519892523,3.5781413077053226,2.016363296896035,1.5617780108092876,2.248061111120926,0.012334647180466356,63.753401819490094,17.258819465351166,0.8816381243659908,4.619961288610548,2.384457570674484,2.235503717936064,3.2178382185405163,0.6469220322670122,0.5297721741808221,0.11714985808619005,0.1686283443063914,2.5545227739660126,0.910519747278674,1.6440030266873387,2.366417791313242,3.2014448062330247,1.440291921459496,1.7611528847735287,2.535046135619633,0.9608173016680763,0.8793885207711684,0.08142878089690808,68.3268311809875,37.89448977962067,35.7,29.4,21.8,9.6,21.4,11.799999999999999
2019-04-11 17:01:47,355,294,222,98,197,267,319,310,224,216,95,175,181,427,334,227,215,248,412,0,219,0,260,266,586,679,999,974,507,397,418,614,342,360,0,0,80,29,0,0,0.021534184572143466,90.94985232685232,26.135173934626778,0.9046837126022574,6.422891148396055,2.6195026704115305,3.803388477984525,5.474689532484724,0.01758310285420128,74.4848227575213,22.850952291952467,0.8813590610726233,5.399334703920113,2.211603675296811,3.187731028623302,4.588497282304632,0.016865492791966384,65.1896146343748,22.183573031612468,0.8594193282865823,4.846169860280628,1.71048112661725,3.135688733663378,4.513586341938489,0.007330712209434131,28.32258420406744,9.408082074812569,0.8110488345502183,2.231059781083779,0.7868236935369525,1.4442360875468268,2.0788684186999506,0.007228971277833647,38.154908541044804,9.203058109858603,0.8392905149437343,2.9044468738073963,1.528178243038473,1.3762686307689234,1.9810344145414334,0.008661835149036507,48.9408938599954,11.879287926042252,0.861309088694305,3.630263944717184,2.023360021703668,1.6069039230135158,2.313016442562438,0.012384542149007307,63.77823565933603,17.321390768912636,0.8814185327197823,4.622912339947488,2.377806576428629,2.2451057635188594,3.231659635612913,0.5531648436394851,0.5011225486795612,0.05204229495992374,0.07491094036614321,2.6151100791968487,0.9236574330802975,1.6914526461165513,2.4347179232385385,3.168274922836334,1.4247799817598588,1.743494941076475,2.5096288636046817,0.6733870927236172,0.7413545495015205,-0.06796745677790339,68.42305209983537,36.652097463190174,35.5,29.4,22.2,9.8,19.7,9.899999999999999
2019-04-11 17:01:58,356,294,226,99,176,268,320,314,227,221,98,186,191,435,349,233,226,258,412,0,231,0,257,272,594,670,999,981,520,400,431,625,359,389,0,0,82,29,0,0,0.021963370153822638,92.15531099405476,26.458202929969104,0.9055803994147359,6.501576699788671,2.6262261444528114,3.875350555335859,5.578273490287521,0.01734354383307017,73.87297296709804,22.630945055106395,0.8810289271022879,5.356988875847505,2.211510518983484,3.145478356864021,4.527677762779079,0.017292295216479396,66.68903493518081,22.58352253187485,0.8611582144466164,4.947625502032667,1.7390761803472559,3.2085493216854113,4.618463637771885,0.007434319590749763,28.685480870392063,9.614268759778668,0.8114690527176036,2.258476147568639,0.7945866595040227,1.4638894880646163,2.107157999613202,0.006493451266678299,34.152005577802264,7.639027598816369,0.8322979607802865,2.621577599021558,1.37495274291916,1.246624856102398,1.7944220239778619,0.008780430658379862,49.3454016292765,12.082611981756543,0.8617583661705108,3.6583606329000267,2.030304644284664,1.6280559886153627,2.3434632383107985,0.012851607767118122,65.07617989019117,17.896379167918326,0.88235666500464,4.7119775836859645,2.3846778554945796,2.327299728191385,3.349971619947614,0.40936337381483767,0.47243433863622797,0.06307096482139007,0.09078587499280655,2.6891493544640284,0.9444895208432331,1.744659833620795,2.5113056381586834,3.098512728278866,1.416923859479461,1.681588868799405,2.420519763165877,0.36310145145291894,0.5803660834151372,-0.21726463196221824,69.5923247193313,40.25680064454961,35.6,29.4,22.6,9.9,17.6,7.700000000000001
2019-04-11 17:02:08,357,291,226,100,189,271,326,309,229,232,97,185,194,440,354,242,237,264,419,0,239,0,257,270,605,649,999,978,555,417,493,617,365,410,0,0,57,33,0,0,0.02251275685913687,93.66929318756881,26.863421221321914,0.9066465745034398,6.600617300119337,2.6330008439697807,3.9676164561495564,5.711083263549941,0.016489446162172725,71.3808212559852,21.823532888584452,0.8789794671659841,5.188336620336655,2.190787104049638,2.9975495162870174,4.314745405291188,0.017292295216479396,66.68903493518081,22.58352253187485,0.8611582144466164,4.947625502032667,1.7390761803472559,3.2085493216854113,4.618463637771885,0.007461758556292993,28.856542891229864,9.668443921876587,0.8117911289651102,2.2710428787827732,0.8023333311925346,1.4687095475902385,2.1140961100859097,0.007532386967805692,38.10886342169525,9.80707660474286,0.837401385858767,2.90748616129131,1.4702174377204662,1.437268723570844,2.068839426171546,0.009324357156206494,51.03892284014687,12.984741912219647,0.8633641496906544,3.776876850296687,2.0511823456833893,1.7256945046132977,2.484006484049529,0.015264318913787973,71.86985992122774,20.596801278950352,0.8874516963040232,5.1740117395576055,2.425663668161957,2.7483480713956485,3.9560388072868204,0.24071111830398806,0.4517109237023822,0.2109998053983939,0.30371823248069685,2.676582623249894,0.9367428491547213,1.7398397740951728,2.5043675276859756,2.917293741553882,1.3884537728571034,1.5288399686967789,2.2006492952052787,0.6364432825085369,0.6678841065279316,-0.03144082401939463,76.00544520715283,50.01453585691215,35.7,29.1,22.6,10.0,18.9,8.899999999999999
